DOC.ID,Proj.ID,Lake.ID,Site,Date.Sample,Time.Sample,Depth.Class,Depth.Top..m.,Depth.Bot..m.,Rep,Comments,DOC_mgL,TN_mgL,flag
96,15,WL,DeepHole,5/28/2014,9:05,Hypo,10,10,2,,6.543626741,NA,0
97,15,EL,DeepHole,5/28/2014,10:20,PML,0,0.5,1,,12.31568479,0.37065993,0
98,15,EL,DeepHole,5/28/2014,10:20,PML,0,0.5,2,,13.40666544,0.411174291,0
99,15,EL,DeepHole,5/28/2014,10:20,Hypo,8,8,1,,8.430759762,NA,0
100,15,EL,DeepHole,5/28/2014,10:20,Hypo,8,8,2,,11.4516926,0.450600269,0
101,15,EL,Inlet1,5/28/2014,11:50,Surface,0,0,1,,64.73959811,NA,0
102,15,EL,Inlet1,5/28/2014,11:50,Surface,0,0,2,,54.18977935,1.063943454,0
103,17,BO,DeepHole,5/29/2014,9:40,PML,0,0.5,1,,20.43103281,0.584036762,0
104,17,BO,DeepHole,5/29/2014,9:40,PML,0,0.5,2,,20.16414109,0.645924275,0
105,17,BO,DeepHole,5/29/2014,9:40,Hypo,3,3,1,,14.86381431,1.151840748,0
106,17,BO,DeepHole,5/29/2014,9:40,Hypo,3,3,2,,12.65071785,1.085026558,0
107,17,NG,DeepHole,5/29/2014,12:10,PML,0,0.5,1,,27.61830096,NA,0
108,17,NG,DeepHole,5/29/2014,12:10,PML,0,0.5,2,,20.38514977,NA,0
109,17,NG,DeepHole,5/29/2014,12:10,Hypo,4,4,1,,40.03023561,NA,0
110,17,NG,DeepHole,5/29/2014,12:10,Hypo,4,4,2,,36.84772168,NA,0
111,17,WA,DeepHole,5/30/2014,9:10,PML,0,0.5,1,,10.87734868,NA,0
112,17,WA,DeepHole,5/30/2014,9:10,PML,0,0.5,2,,12.09595249,NA,0
113,17,WA,DeepHole,5/30/2014,9:10,Hypo,4,4,1,,5.171459585,NA,0
114,17,WA,DeepHole,5/30/2014,9:10,Hypo,4,4,2,,7.271094079,NA,0
115,3,WL,DeepHole,6/4/2014,8:50,PML,0,1.5,1,,6.407919414,0.279755088,0
116,3,WL,DeepHole,6/4/2014,8:50,PML,0,1.5,2,,6.187665014,NA,0
117,3,WL,DeepHole,6/4/2014,8:50,Hypo,8,8,1,,7.635084829,NA,0
118,3,WL,DeepHole,6/4/2014,8:50,Hypo,8,8,2,,7.316374789,NA,0
119,3,EL,DeepHole,6/4/2014,10:30,PML,0,1.5,1,,10.38554341,0.334350757,0
120,3,EL,DeepHole,6/4/2014,10:30,PML,0,1.5,2,,10.45638779,NA,0
121,3,EL,DeepHole,6/4/2014,10:30,Hypo,8,8,1,,11.21432555,NA,0
122,3,EL,DeepHole,6/4/2014,10:30,Hypo,8,8,2,,11.27682134,NA,0
123,3,EL,Outlet,6/4/2014,12:00,Surface,0,0,1,,10.21331932,NA,0
124,3,EL,Outlet,6/4/2014,12:00,Surface,0,0,2,,10.86441753,NA,0
125,3,EL,Inlet1,6/4/2014,11:30,Surface,0,0,1,,73.42035909,NA,0
126,3,EL,Inlet1,6/4/2014,11:30,Surface,0,0,2,,64.82026559,1.417378108,0
