"","lakeID","dateSample","depthClass","POC","particulateP.ugL","CP","year"
"119","WL","2012-08-15 0:00:00","Hypo",1.01,20.9,124.617545559314,"2012"
"120","EL","2012-08-15 0:00:00","PML",0.54,6.32,220.333628772781,"2012"
"121","EL","2012-08-15 0:00:00","Hypo",0.7,11.59,155.746648402324,"2012"
"122","EL","2013-04-28 00:00:00","Surface",0.947401111,1.648962,266.685776101468,"2013"
"123","EL","2013-04-30 00:00:00","Surface",0.950483889,2.683593,164.401100385315,"2013"
"124","EL","2013-05-01 00:00:00","Surface",0.997322222,2.447418,189.148959629656,"2013"
"125","EL","2013-05-04 00:00:00","Surface",0.6433,0.824343,362.228158190555,"2013"
"126","WL","2013-05-15 00:00:00","Hypo",1.054204444,3.407193,143.616625699918,"2013"
"127","EL","2013-05-15 00:00:00","PML",1.379188889,2.422293,264.285712967089,"2013"
"128","EL","2013-05-15 00:00:00","Hypo",0.968682222,1.688643,266.268686558258,"2013"
"129","EL","2013-05-15 00:00:00","Surface",0.896087778,2.035368,204.354507821819,"2013"
"130","EL","2013-05-15 00:00:00","Surface",0.712911111,0.507768,651.698417449448,"2013"
"131","WL","2013-05-22 00:00:00","PML",0.927512222,1.424025,302.328185879001,"2013"
"132","WL","2013-05-22 00:00:00","Hypo",0.98462,0.606741,585.864861866693,"2013"
"133","EL","2013-05-22 00:00:00","PML",1.579027857,1.641645,347.250344166789,"2013"
"134","EL","2013-05-22 00:00:00","Hypo",0.985566667,1.535253,248.314120431525,"2013"
"135","EL","2013-05-22 00:00:00","Surface",0.877093889,1.544925,263.521039373039,"2013"
"136","EL","2013-05-22 00:00:00","Surface",0.430886667,0.635757,314.592609258421,"2013"
"137","EL","2013-05-29 00:00:00","Surface",0.712667857,1.4312508,179.76435069485,"2013"
"138","EL","2013-05-29 00:00:00","Surface",0.601687857,0.4383204,495.577641418205,"2013"
"139","WL","2013-05-29 00:00:00","PML",1.345560714,0.4732476,1026.4717933524,"2013"
"140","WL","2013-05-29 00:00:00","Hypo",1.322290714,2.4940356,191.406393822697,"2013"
"141","EL","2013-05-29 00:00:00","PML",1.279723333,1.3214796,374.585524064996,"2013"
"142","EL","2013-05-29 00:00:00","Hypo",NA,1.1967396,267.022557416689,"2013"
"143","WL","2013-06-05 00:00:00","PML",0.669324286,0.468258,516.040180631916,"2013"
"144","WL","2013-06-05 00:00:00","Hypo",1.103015714,2.2844724,174.312256725952,"2013"
"145","EL","2013-06-05 00:00:00","PML",0.684370556,1.1717916,271.092527295426,"2013"
"146","EL","2013-06-05 00:00:00","Hypo",0.827483571,1.1817708,252.789055072954,"2013"
"147","EL","2013-06-05 00:00:00","Surface",2.685705,3.037902,227.9757501679,"2013"
"148","EL","2013-06-05 00:00:00","Surface",0.762136111,0.518154,682.732056925729,"2013"
"149","EL","2013-06-12 00:00:00","PML",0.450627,0.7843524,296.30575117365,"2013"
"150","EL","2013-06-12 00:00:00","Hypo",0.800505714,0.83673,345.391175335381,"2013"
"151","WL","2013-06-12 00:00:00","PML",0.425982,0.6843588,321.026950506472,"2013"
"152","WL","2013-06-12 00:00:00","Hypo",0.976413333,3.3318084,136.028620295784,"2013"
"153","EL","2013-06-19 00:00:00","PML",0.586928889,0.8319684,327.457744203322,"2013"
"154","EL","2013-06-19 00:00:00","Hypo",0.956231429,1.5414468,223.958017457863,"2013"
"155","WL","2013-06-19 00:00:00","PML",0.555842,0.908154,315.664657817011,"2013"
"156","WL","2013-06-19 00:00:00","Hypo",0.791568,3.6270276,112.556730630379,"2013"
"157","EL","2013-06-19 00:00:00","Surface",0.456124286,0.4748484,693.570087016687,"2013"
"158","EL","2013-06-19 00:00:00","Surface",0.876366667,0.9033924,450.283495156602,"2013"
"159","WL","2013-06-26 00:00:00","PML",0.442752,0.6043956,377.809904379092,"2013"
"160","WL","2013-06-26 00:00:00","Hypo",0.674952,2.9579292,117.684486076856,"2013"
"161","EL","2013-06-26 00:00:00","PML",0.58061,NA,NA,"2013"
"162","EL","2013-06-26 00:00:00","Hypo",0.777164706,1.8011076,189.158750893883,"2013"
"163","EL","2013-06-26 00:00:00","Surface",0.633696471,0.9634092,288.352370467982,"2013"
"164","WL","2013-07-03 00:00:00","PML",0.511552,NA,NA,"2013"
"165","WL","2013-07-03 00:00:00","Hypo",0.9579625,3.1523949,125.381072572499,"2013"
"166","EL","2013-07-03 00:00:00","PML",0.68688,1.0880667,293.023170278915,"2013"
"167","EL","2013-07-03 00:00:00","Hypo",0.886694286,1.6963953,188.703080702397,"2013"
"168","EL","2013-07-03 00:00:00","Surface",0.440258,NA,NA,"2013"
"169","EL","2013-07-03 00:00:00","Surface",0.605275556,1.1229708,250.185008205694,"2013"
"170","WL","2013-07-10 00:00:00","PML",0.54062,NA,NA,"2013"
"171","WL","2013-07-10 00:00:00","Hypo",0.848921143,2.4792444,154.521944041067,"2013"
"172","EL","2013-07-10 00:00:00","PML",1.057348889,2.5141485,195.2108704038,"2013"
"173","EL","2013-07-10 00:00:00","Hypo",NA,2.9579292,171.126457832626,"2013"
"174","EL","2013-07-10 00:00:00","Surface",0.452814,0.6293271,371.088514985719,"2013"
"175","EL","2013-07-10 00:00:00","Surface",0.94494,1.6565049,264.781793274608,"2013"
"176","EL","2013-07-17 00:00:00","Surface",0.696936,1.0669941,336.872051759822,"2013"
"177","EL","2013-07-17 00:00:00","Surface",1.267382857,2.2565763,202.76357840781,"2013"
"178","EL","2013-07-25 00:00:00","PML",0.709734286,1.2120651,211.398538446418,"2013"
"179","EL","2013-07-25 00:00:00","Mete",0.671498824,1.8407061,159.924069133692,"2013"
