"datetime","NLL","iota","R","GPP","DO0","convergence","sd_iota","sd_R","sd_GPP","GPP.weighted","R.weighted","thermo.depth","GPP.weighted.areal","R.weighted.areal"
2013-08-25,"-201.6552143",1.62e-06,1.099274489,8.55e-07,7.152016798,0,0.083553481,0.069480819,0.044040518,0.254671724226114,1.02094618589977,1.93446674658465,492.653981810795,1974.98644667555
2013-08-26,"-169.0667941",1.36e-07,0.754060377,5.51e-08,6.994322988,0,0.120532915,0.078056365,0.048808716,0.249110466973738,1.12240578587054,1.90707523964317,475.072403501562,2140.51228306594
2013-08-27,"-159.7186491",0.595345599,1.041273719,0.171096537,6.875933258,0,0.294110475,0.11724223,0.084524491,0.290282452755764,1.14644137946525,1.94672296470382,565.099517030197,2231.80376109173
2013-08-28,"-66.4044934",0.742451778,0.970697298,0.377820304,6.515263936,0,0.418425297,0.274833245,0.212929079,0.420691121639982,1.2685334879465,1.88879193575565,794.597997997597,2395.99582226934
2013-08-29,"-131.5944861",1.182012576,1.338498735,0.306688759,6.860726933,0,0.352765703,0.107739718,0.091529716,0.714151964656634,1.48248413946529,1.94187393803726,1386.79308796483,2878.79731398124
2013-08-30,"-129.0489307",0.588166758,1.651514166,0.203633951,6.557316366,0,0.390521548,0.178963476,0.135205611,0.772924762858661,1.57856178573707,2.01419211937998,1556.81896622355,3179.52670878599
2013-08-31,"-38.02521965",1.11824605,1.333269413,0.559591291,6.255992023,0,0.727479993,0.496309137,0.364044629,0.759259304589138,1.64420231827636,1.99703273493054,1516.26568556511,3283.52585244658
2013-09-01,"-138.2590903",3.300353552,1.916573479,0.685286328,6.596391347,0,0.578451614,0.155657709,0.120109854,0.797437183924214,1.69226331132602,2.0619835818584,1644.30238081513,3489.41916413558
2013-09-02,"-173.2981987",6.271452968,2.295005936,1.086198233,5.998865446,0,0.551271771,0.132149067,0.095478739,0.781660503538861,1.76411435367703,2.17965457278342,1703.74989090267,3845.15991790501
2013-09-03,"-122.7989937",1.985234891,1.755176299,1.077716469,5.615807408,0,0.377474012,0.248425257,0.204917797,0.837544056702809,1.76981932885914,2.33474702656563,1955.4534960046,4132.08041561224
2013-09-04,"-61.96811099",0.211173518,0.912842917,0.10103025,6.25751986,0,0.312649952,0.212566672,0.149578902,0.868156795847772,1.73328708772586,2.46390213986675,2139.05338702918,4270.64976445114
2013-09-05,"-27.80765896",4.22e-07,1.003732206,2.27e-07,6.521828047,0,0.378191172,0.338277112,0.203248865,0.88669358329572,1.73939761557459,2.63944516347345,2340.37908991283,4591.04462378561
2013-09-06,"-73.48787063",0.96112946,1.946121721,0.282016742,6.819425524,0,0.397348895,0.149956293,0.116590996,0.884632618811893,1.64039682633713,2.62636367354426,2323.36697447988,4308.27863488913
2013-09-07,"-87.24093436",3.04e-07,1.32045736,1.01e-07,6.832759671,0,0.243978958,0.121229462,0.081032528,0.776537402812714,1.59241744577913,2.63650053921713,2047.34128123799,4198.40945445544
2013-09-08,"-90.69275448",0.052285623,0.805814389,0.020292958,6.764161882,0,0.343565232,0.203667458,0.133343631,0.714304023601871,1.76025104988531,2.64319125276612,1888.04214700011,4652.68017772922
2013-09-09,"-11.79297076",3.74e-07,1.629582393,4.27e-08,7.016537565,0,1.56681901,0.281524139,0.17854229,0.736784021120685,1.82687085599845,2.64635283151094,1949.79048050474,4834.5448625763
2013-09-10,"-123.639467",0.53144629,1.256177748,0.13694559,7.103541681,0,0.333882837,0.112660472,0.086036506,NA,NA,2.51239756774001,NA,NA
2013-09-11,"-49.80229795",2.34560272,2.434430359,1.010384661,7.045275705,0,0.456488378,0.240215389,0.196635539,NA,NA,2.37649467871727,NA,NA
2013-09-12,"-73.04512944",3.660506497,2.802562931,0.927114783,6.67627992,0,0.808837036,0.252199924,0.2048582,NA,NA,2.56548369550506,NA,NA
2013-09-13,"-63.36864479",1.596246912,1.974039592,0.701354313,5.998354772,0,0.546956581,0.303796802,0.240320187,NA,NA,2.87325116219664,NA,NA
2014-05-09,"Error in FUN(X[[i]], ...) : too many NAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-10,"-91.24324246",2.048044843,1.4371796,1.332406774,8.278935424,0,0.1710512,0.143683813,0.111281635,NA,NA,0.776949894258986,NA,NA
2014-05-11,"36.43522018",6.858299422,1.983811949,2.981050335,8.400361364,0,0.74580297,0.419154608,0.324173101,NA,NA,0.527322653300561,NA,NA
2014-05-12,"18.23943676",5.363907625,3.19e-06,0.591300042,9.182565595,0,3.145124934,0.42908114,0.346708526,NA,NA,1.04488276487712,NA,NA
2014-05-13,"-282.7344839",2.287126561,0.582764904,0.703694841,10.00450638,0,0.184744057,0.074957181,0.056841384,NA,NA,1.93263597147505,NA,NA
2014-05-14,"-88.9123198",2.09441191,1.223183261,0.942398092,10.18686751,0,0.504295342,0.280905274,0.226911892,1.25890978637121,1.0473191948034,2.04916024171302,2579.70788213531,2146.12485437403
2014-05-15,"-169.1924376",3.157894026,0.82120886,0.971032676,10.09301995,0,0.308011503,0.119725977,0.094711612,1.15165925892838,0.950062936495551,2.02988046731746,2337.73063470403,1928.51419751459
2014-05-16,"-57.20753849",5.082519485,1.23700139,1.862630446,10.28338214,0,0.668429428,0.298316286,0.244964531,0.870225036438981,0.797184479694877,2.17530354692714,1893.00360839051,1734.11822623553
2014-05-17,"-198.1343756",1.489120862,0.732722222,0.840982041,10.7199365,0,0.12661499,0.09342079,0.071505904,0.824555781176418,0.767567818596573,2.28034928943151,1880.27518970229,1750.32272972719
2014-05-18,"-216.1996893",1.372241366,0.533226094,0.699321836,10.89431116,0,0.186667088,0.121615387,0.095129307,0.83504434795186,0.795364038998773,2.03318660031617,1697.80097892547,1617.12350646565
2014-05-19,"-169.1876267",1.214850275,1.54e-09,0.377669954,11.01032157,0,0.156005049,0.047154987,0.048498503,0.822064481280376,0.745983465168256,1.93654942122824,1591.9684954358,1444.63384771742
2014-05-20,"-119.203299",1.6654217,0.558902272,0.589740859,10.96448864,0,0.51562719,0.259324833,0.182588243,0.792165833802898,0.755129109543452,1.87600946721314,1486.11060381703,1416.62935847175
2014-05-21,"-289.8493896",0.680718491,0.080192391,0.248333196,10.91757236,0,0.114617205,0.049608034,0.04181355,0.599801041963789,0.672484189945112,1.83350947126172,1099.74089131326,1233.00613153813
2014-05-22,"-154.3571959",1.448084053,0.619027467,0.645583022,10.70848158,0,0.30927213,0.193165558,0.137879314,0.511576991094701,0.611254451615012,1.69274598663552,865.969898530631,1034.69851978441
2014-05-23,"-53.27271419",1.019371314,0.887989593,0.70666005,10.75983014,0,0.373632986,0.339772228,0.259014062,0.451088661845467,0.620519011507468,1.54927777862825,698.861639988338,961.356315744891
2014-05-24,"-87.18617722",5.51e-07,0.859911201,3.47e-07,10.40776551,0,0.125952623,0.119589826,0.079451002,0.636267691623905,0.723059193513938,1.51278014865755,962.533133120806,1093.82959425222
2014-05-25,"-45.4615843",0.122414039,0.304070725,0.082222705,9.459489751,0,0.282391403,0.280592633,0.189675834,0.675989407523096,0.829154586123668,1.36601050006414,923.408628608687,1132.63387082127
2014-05-26,"-124.4254889",5.25e-08,0.408465778,2.35e-08,8.921520567,0,0.133710304,0.093089485,0.059873988,0.828331157667711,0.844647316462137,1.15404934998146,955.93503407581,974.764686526712
2014-05-27,"51.27779533",0.354784858,0.148880284,0.175720998,8.379743646,0,0.814417058,0.51644658,0.40337172,0.899690452008366,0.826646024546044,1.10054316411304,990.148176775578,909.759631455368
2014-05-28,"-31.01125565",1.838330711,1.417051404,1.287345975,8.270775532,0,0.450065945,0.425488785,0.315172118,0.891395144916838,0.854416241785931,1.1259657184408,1003.68037476093,962.043397529985
2014-05-29,"-54.02820689",1.174478019,1.253566672,0.809871921,8.310145219,0,0.27262977,0.246047627,0.187994319,0.805211135132892,0.852768159409667,1.07962250301175,869.324061165107,920.66769475059
2014-05-30,"-9.113977021",2.02e-06,0.575832393,1.38e-06,7.827950098,0,0.190125722,0.196086613,0.129776121,0.792489928806193,0.90439579901302,0.992825949511758,786.804566045513,897.907617889546
2014-05-31,"-112.3995965",1.19e-05,0.479560041,7.38e-06,7.263467314,0,0.142388145,0.137819487,0.088287077,1.08350702574837,1.0368491117219,1.06784493836258,1157.01749312568,1107.19407579796
2014-06-01,"-55.71947367",0.520220518,1.112134569,0.182001316,7.137315242,0,0.611534024,0.307494813,0.213947726,0.979562813568682,1.02538102927029,1.20597382640432,1181.32711448281,1236.5826833915
2014-06-02,"-101.1262832",0.599899605,7.95e-05,0.185611021,6.758274403,0,0.426486793,0.168699667,0.131956495,0.858685750686986,1.18075635473173,1.26559825563224,1086.75118820571,1494.36318287516
2014-06-03,"-2.477030352",0.91562537,1.152868451,0.32450081,7.628173935,0,0.942944711,0.477594706,0.33418288,0.871949682858983,1.17077909898944,1.72611348329904,1505.08410434121,2020.89758873038
2014-06-04,"-9.390276519",2.828169509,1.353837499,1.995436601,7.381279868,0,0.735062188,0.684728392,0.518628742,1.06481975509668,1.44967740017721,1.66300812432092,1770.80390366319,2410.82529413912
