"","X","ID1","ID2","Comment","Area.All.N","Ampl.N.28","Area.N.28","d15N","X.N","Area.All.C","Area.C.44","X.C","Ampl.C.45","Ampl.C.46","Area.C.46","d13C","amountN.mg","amountC.mg","flag","ProjectID","Date.time","lakeID","Site","depthClass","depth","volFiltered","comments","PON","POC","dateTimeSample","dateSample","particulateP.ug","Cmol","Nmol","Pmol","CP","CN","NP"
"36",36,"P-0710",NA,NA,0.602,77,0.597,-0.22,0,7.059,6.948,0,567,701,0.03,-25,0.0041364,0.1277148,0,3,"6/19/13 9:00","EL","Inlet","Surface","0",280,"",0.014772857,0.456124286,"2013-06-19 09:00:00","2013-06-19 00:00:00",0.4748484,1.06331529431355e-05,2.95309488113086e-07,1.5331043166629e-08,693.570087016687,36.0068110614298,19.2621914179907
"37",37,"P-0711",NA,NA,1.613,212,1.6,1.202,0,8.805,8.666,0,703,870,0.038,-26.553,0.0124266,0.157746,0,3,"6/19/13 9:00","EL","Outlet","Surface","0",180,"",0.069036667,0.876366667,"2013-06-19 09:00:00","2013-06-19 00:00:00",0.9033924,1.31334609940888e-05,8.87170700364104e-07,2.91670939205114e-08,450.283495156602,14.8037587227561,30.4168355881424
"38",38,"P-0736",NA,NA,1.242,165,1.233,0.46,0,4.782,4.706,0,383,476,0.02,-27.851,0.0093844,0.0885504,0,3,"6/26/13 8:30","WL","DeepHole","PML","0-1",200,"",0.046922,0.442752,"2013-06-26 08:30:00","2013-06-26 00:00:00",0.6043956,7.37244192823245e-06,6.69979296066253e-07,1.95136279985794e-08,377.809904379092,11.0039847074669,34.3339176146551
"39",39,"P-0737",NA,NA,2.197,291,2.181,-0.918,0,7.482,7.365,0,597,743,0.032,-32.221,0.0172154,0.1349904,0,3,"6/26/13 8:30","WL","DeepHole","Hypo","8",200,"",0.086077,0.674952,"2013-06-26 08:30:00","2013-06-26 00:00:00",2.9579292,1.12388976771293e-05,1.22905690012137e-06,9.55002486036225e-08,117.684486076856,9.14432657757299,12.8696722583688
"40",40,"P-0738",NA,NA,1.686,228,1.673,0.812,0,6.385,6.285,0,513,633,0.027,-28.332,0.0130252,0.116122,0,3,"6/26/13 9:30","EL","DeepHole","PML","0-0.5",200,"",0.065126,0.58061,"2013-06-26 09:30:00","2013-06-26 00:00:00",NA,9.66797102655899e-06,9.29906475333762e-07,NA,NA,10.3967133072054,NA
"41",41,"P-0739",NA,NA,1.682,223,1.669,-0.772,0,7.315,7.2,0,584,724,0.031,-30.643,0.0129924,0.132118,0,3,"6/26/13 9:30","EL","DeepHole","Hypo","8",170,"",0.076425882,0.777164706,"2013-06-26 09:30:00","2013-06-26 00:00:00",1.8011076,1.09997502289568e-05,9.27564789034054e-07,5.81508927130081e-08,189.158750893883,11.8587406065852,15.9509982694825
"42",42,"P-0741",NA,NA,1.093,144,1.085,-0.171,0,5.897,5.805,0,473,587,0.025,-26.781,0.0081626,0.1077284,0,3,"6/26/13 9:20","EL","Outlet","Surface","0",170,"",0.048015294,0.633696471,"2013-06-26 09:20:00","2013-06-26 00:00:00",0.9634092,8.96914495046208e-06,5.82751481402156e-07,3.1104807412908e-08,288.352370467982,15.391029000701,18.735093700028
"43",43,"P-0766",NA,NA,1.03,135,1.023,0.123,0,5.582,5.494,0,446,553,0.024,-27.442,0.007646,0.1023104,0,3,"7/3/13 8:15","WL","DeepHole","PML","0-1.5",200,"",0.03823,0.511552,"2013-07-03 08:15:00","2013-07-03 00:00:00",NA,8.51805844642411e-06,5.45869922181766e-07,NA,NA,15.6045572402645,NA
"44",44,"P-0767",NA,NA,1.974,261,1.959,-0.782,0,8.545,8.411,0,679,844,0.037,-31.354,0.0153868,0.153274,0,3,"7/3/13 8:15","WL","DeepHole","Hypo","8",160,"",0.0961675,0.9579625,"2013-07-03 08:15:00","2013-07-03 00:00:00",3.1523949,1.27611356256765e-05,1.09850788891269e-06,1.01778804119717e-07,125.381072572499,11.6167901518737,10.7930909427917
"45",45,"P-0768",NA,NA,1.682,219,1.669,1.545,0,6.822,6.715,0,545,675,0.029,-28.035,0.0129924,0.1236384,0,3,"7/3/13 9:25","EL","DeepHole","PML","0-1",180,"",0.07218,0.68688,"2013-07-03 09:25:00","2013-07-03 00:00:00",1.0880667,1.02937640496212e-05,9.27564789034054e-07,3.51295224873277e-08,293.023170278915,11.0976226904224,26.4041388370325
"46",46,"P-0769",NA,NA,1.174,157,1.165,0.613,0,6.851,6.744,0,546,677,0.029,-29.334,0.0088268,0.1241372,0,3,"7/3/13 9:25","EL","DeepHole","Hypo","8",140,"",0.063048571,0.886694286,"2013-07-03 09:25:00","2013-07-03 00:00:00",1.6963953,1.03352926484056e-05,6.30170628971229e-07,5.47701320504956e-08,188.703080702397,16.4007844435376,11.5057350672487
"47",47,"P-0770",NA,NA,0.575,75,0.57,2.356,0,4.753,4.678,0,379,469,0.02,-24.983,0.003915,0.0880516,0,3,"7/3/13 10:00","EL","Inlet","Surface","0",200,"",0.019575,0.440258,"2013-07-03 10:00:00","2013-07-03 00:00:00",NA,7.33091332944801e-06,2.79503105590062e-07,NA,NA,26.228378800914,NA
