"","lakeID","dateSample","depthClass","filterVol","sampleType","sampleAmount","POC","PON","flag","uniqueID","particulateP.ugL","Cmol","Nmol","Pmol","CP","CN","NP"
"154","EL","2012-06-13 0:00:00","PML",200,"filter","",0.29,0.02,0,"EL.2012-06-13 0:00:00.PML",3.95,4.82890683540088e-06,2.85571499964304e-07,2.55060859458238e-08,189.323710649204,16.909624510865,11.1962102131574
"155","EL","2012-06-13 0:00:00","Hypo",100,"filter","",1.82,0.23,0,"EL.2012-06-13 0:00:00.Hypo",17.34,1.51527766214304e-05,1.64203612479475e-06,5.59842443418461e-08,270.661447690636,9.22804096245109,29.3303257746642
"159","WL","2012-06-19 0:00:00","PML",200,"filter","",0.54,0.06,0,"WL.2012-06-19 0:00:00.PML",6.8,8.99175755557406e-06,8.56714499892911e-07,4.39092112485068e-08,204.780666741761,10.4956290067438,19.5110427979288
"160","WL","2012-06-19 0:00:00","Hypo",200,"filter","",0.68,0.08,0,"WL.2012-06-19 0:00:00.Hypo",23.17,1.1322953958871e-05,1.14228599985721e-06,1.49614180092338e-07,75.6810213569514,9.91253850636916,7.63487791833783
"162","WL","2012-06-20 0:00:00","PML",200,"filter","",0.72,0.12,0,"WL.2012-06-20 0:00:00.PML",8.65,1.19890100740987e-05,1.71342899978582e-06,5.58550996028799e-08,214.644860708127,6.99708600449588,30.6763216244892
"163","WL","2012-06-20 0:00:00","Hypo",180,"filter","",0.75,0.09,0,"WL.2012-06-20 0:00:00.Hypo",12.03,1.12396969444676e-05,1.15656457485543e-06,6.99125044393504e-08,160.768049072224,9.71817500624428,16.5430288062239
"164","EL","2012-06-20 0:00:00","PML",200,"filter","",0.63,0.09,0,"EL.2012-06-20 0:00:00.PML",6.96,1.04903838148364e-05,1.28507174983937e-06,4.49423691602363e-08,233.418576075379,8.16326700524519,28.5937696176542
"165","EL","2012-06-20 0:00:00","Hypo",180,"filter","",0.79,0.1,0,"EL.2012-06-20 0:00:00.Hypo",14.02,1.18391474481725e-05,1.28507174983937e-06,8.14774158137733e-08,145.305878075863,9.21282990591957,15.7721220905748
"170","WL","2012-06-27 0:00:00","PML",200,"filter","",0.38,0.04,0,"WL.2012-06-27 0:00:00.PML",6.48,6.32753309466323e-06,5.71142999928607e-07,4.18428954250476e-08,151.221205664355,11.0787195071185,13.6497007228308
"171","EL","2012-06-27 0:00:00","PML",200,"filter","",0.6,0.07,0,"EL.2012-06-27 0:00:00.PML",11.63,9.99084172841562e-06,9.99500249875063e-07,7.50976657088432e-08,133.037979730962,9.99583714927983,13.3093384520122
"172","WL","2012-06-27 0:00:00","Hypo",180,"filter","",0.6,0.07,0,"WL.2012-06-27 0:00:00.Hypo",5.87,8.99175755557406e-06,8.99550224887556e-07,3.41135827979208e-08,263.582913845159,9.99583714927982,26.3692685173597
"173","EL","2012-06-27 0:00:00","Hypo",150,"filter","",0.95,0.11,0,"EL.2012-06-27 0:00:00.Hypo",12.77,1.18641245524935e-05,1.17798243735275e-06,6.18441868724373e-08,191.838960983755,10.0715631882895,19.0475855035901
"174","WL","2012-07-04 0:00:00","PML",200,"filter","",0.53,0.05,0,"WL.2012-07-04 0:00:00.PML",5.99,8.82524352676713e-06,7.13928749910759e-07,3.86788493203758e-08,228.167168409481,12.3615186079427,18.4578590742787
"175","WL","2012-07-04 0:00:00","Hypo",180,"filter","",0.86,0.1,0,"WL.2012-07-04 0:00:00.Hypo",14,1.28881858296561e-05,1.28507174983937e-06,8.13611855487037e-08,158.407055437278,10.0291566064441,15.7946536935614
"176","EL","2012-07-04 0:00:00","PML",200,"filter","",0.56,0.06,0,"EL.2012-07-04 0:00:00.PML",13.21,9.32478561318791e-06,8.56714499892911e-07,8.53001000871727e-08,109.317405297982,10.8843560069936,10.0435345212654
"177","EL","2012-07-04 0:00:00","Hypo",200,"filter","",0.9,0.11,0,"EL.2012-07-04 0:00:00.Hypo",15.75,1.49862625926234e-05,1.57064324980367e-06,1.0170148193588e-07,147.35540040677,9.54148091522165,15.44366138926
"178","WL","2012-07-11 0:00:00","PML",180,"filter","",0.55,0.05,0,"WL.2012-07-11 0:00:00.PML",6.5,8.24244442594289e-06,6.42535874919683e-07,3.77748361476124e-08,218.199342910025,12.8279910082424,17.0096270546046
"179","WL","2012-07-11 0:00:00","Hypo",180,"filter","",0.7,0.08,0,"WL.2012-07-11 0:00:00.Hypo",16.92,1.04903838148364e-05,1.02805739987149e-06,9.83308042488619e-08,106.68461317866,10.2040837565565,10.4550899153598
"180","EL","2012-07-11 0:00:00","PML",180,"filter","",0.52,0.05,0,"EL.2012-07-11 0:00:00.PML",6.9,7.79285654816418e-06,6.42535874919683e-07,4.0099441449004e-08,194.338281695885,12.1282824077929,16.0235617181057
"181","EL","2012-07-11 0:00:00","Hypo",180,"filter","",0.81,0.1,0,"EL.2012-07-11 0:00:00.Hypo",14.93,1.2138872700025e-05,1.28507174983937e-06,8.6765892874439e-08,139.903737492697,9.44606610606944,14.8107938184768
"182","WL","2012-07-18 0:00:00","PML",180,"filter","",0.43,0.04,0,"WL.2012-07-18 0:00:00.PML",6.8,6.44409291482807e-06,5.14028699935746e-07,3.95182901236561e-08,163.066086479551,12.5364457580551,13.0073618652858
"183","WL","2012-07-18 0:00:00","Hypo",180,"filter","",0.67,0.08,0,"WL.2012-07-18 0:00:00.Hypo",11.37,1.00407959370577e-05,1.02805739987149e-06,6.60769056920544e-08,151.956206663973,9.7667658812755,15.558497921538
"184","EL","2012-07-18 0:00:00","PML",180,"filter","",0.52,0.05,0,"EL.2012-07-18 0:00:00.PML",5.81,7.79285654816418e-06,6.42535874919683e-07,3.3764892002712e-08,230.797615094941,12.1282824077929,19.0297032452547
"185","EL","2012-07-18 0:00:00","Hypo",180,"filter","",0.61,0.07,0,"EL.2012-07-18 0:00:00.Hypo",12.35,9.14162018150029e-06,8.99550224887556e-07,7.17721886804636e-08,127.369951363747,10.1624344351012,12.533409408656
"186","WL","2012-07-25 0:00:00","PML",200,"filter","",0.43,0.04,0,"WL.2012-07-25 0:00:00.PML",7.15,7.16010323869786e-06,5.71142999928607e-07,4.61692441804152e-08,155.083830498034,12.5364457580551,12.3706378578942
"187","WL","2012-07-25 0:00:00","Hypo",180,"filter","",0.82,0.09,0,"WL.2012-07-25 0:00:00.Hypo",15.52,1.22887353259512e-05,1.15656457485543e-06,9.01946856939915e-08,136.246778082291,10.6252046734937,12.8229791584326
"188","EL","2012-07-25 0:00:00","PML",200,"filter","",0.41,0.03,0,"EL.2012-07-25 0:00:00.PML",6.33,6.82707518108401e-06,4.28357249946455e-07,4.08743098828012e-08,167.026066021892,15.9378070102406,10.4798650099459
"189","EL","2012-07-25 0:00:00","Hypo",180,"filter","",0.69,0.08,0,"EL.2012-07-25 0:00:00.Hypo",22.52,1.03405211889102e-05,1.02805739987149e-06,1.30875278468343e-07,79.0104999960811,10.0583111314628,7.85524517619394
"194","WL","2012-07-30 0:00:00","PML",200,"filter","",0.48,0.05,0,"WL.2012-07-30 0:00:00.PML",6.93,7.9926733827325e-06,7.13928749910759e-07,4.4748652051787e-08,178.612606553661,11.1953376071934,15.954195650062
"195","WL","2012-07-30 0:00:00","PML",200,"filter","",0.56,0.06,0,"WL.2012-07-30 0:00:00.PML",6.93,9.32478561318791e-06,8.56714499892911e-07,4.4748652051787e-08,208.381374312604,10.8843560069936,19.1450347800744
"196","WL","2012-07-30 0:00:00","Hypo",180,"filter","",0.84,0.11,0,"WL.2012-07-30 0:00:00.Hypo",14.49,1.25884605778037e-05,1.4135789248233e-06,8.42088270429083e-08,149.490985919912,8.90538218754021,16.786588466587
"202","WL","2012-08-01 0:00:00","Hypo",180,"filter","",0.65,0.07,0,"WL.2012-08-01 0:00:00.Hypo",17.28,9.74107068520523e-06,8.99550224887556e-07,1.00422949020114e-07,97.0004444228593,10.8288235783865,8.95761609935773
"203","EL","2012-08-01 0:00:00","PML",200,"filter","",0.44,0.04,0,"EL.2012-08-01 0:00:00.PML",8.68,7.32661726750479e-06,5.71142999928607e-07,5.60488167113292e-08,130.718500360844,12.8279910082424,10.1900991571364
"204","EL","2012-08-01 0:00:00","PML",200,"filter","",0.45,0.04,0,"EL.2012-08-01 0:00:00.PML",8.68,7.49313129631172e-06,5.71142999928607e-07,5.60488167113292e-08,133.689375369045,13.1195362584298,10.1900991571364
"205","EL","2012-08-01 0:00:00","Hypo",180,"filter","",0.76,0.08,0,"EL.2012-08-01 0:00:00.Hypo",13.72,1.13895595703938e-05,1.02805739987149e-06,7.97339618377296e-08,142.844520802481,11.0787195071185,12.8935948518868
"213","WL","2012-08-08 0:00:00","PML",200,"filter","",0.68,0.05,0,"WL.2012-08-08 0:00:00.PML",8.08,1.1322953958871e-05,7.13928749910759e-07,5.21744745423433e-08,217.020948618882,15.8600616101907,13.6834871107586
"214","WL","2012-08-08 0:00:00","Hypo",150,"filter","",1.04,0.12,0,"WL.2012-08-08 0:00:00.Hypo",14.67,1.29880942469403e-05,1.28507174983937e-06,7.10457495237788e-08,182.813107525782,10.1069020064941,18.0879469701316
"215","EL","2012-08-08 0:00:00","PML",180,"filter","",0.49,0.04,0,"EL.2012-08-08 0:00:00.PML",6.8,7.34326867038548e-06,5.14028699935746e-07,3.95182901236561e-08,185.819493895302,14.2857172591791,13.0073618652858
"216","EL","2012-08-08 0:00:00","Hypo",150,"filter","",0.8,0.09,0,"EL.2012-08-08 0:00:00.Hypo",14.38,9.99084172841562e-06,9.63803812379524e-07,6.96413004875214e-08,143.461446849428,10.3660533399939,13.8395435701581
"217","WL","2012-08-15 0:00:00","PML",180,"filter","",0.76,0.06,0,"WL.2012-08-15 0:00:00.PML",11,1.13895595703938e-05,7.7104304990362e-07,6.39266457882672e-08,178.166075037276,14.7716260094913,12.0613719114469
"218","WL","2012-08-15 0:00:00","Hypo",150,"filter","",1.01,0.12,0,"WL.2012-08-15 0:00:00.Hypo",20.9,1.26134376821247e-05,1.28507174983937e-06,1.01217189164756e-07,124.617545559314,9.81535675630672,12.6961809594178
"219","EL","2012-08-15 0:00:00","PML",180,"filter","",0.54,0.04,0,"EL.2012-08-15 0:00:00.PML",6.32,8.09258180001665e-06,5.14028699935746e-07,3.67287637619863e-08,220.333628772781,15.7434435101157,13.9952627664468
"220","EL","2012-08-15 0:00:00","Hypo",150,"filter","",0.7,0,0,"EL.2012-08-15 0:00:00.Hypo",11.59,8.74198651236367e-06,0,5.61295321731831e-08,155.746648402324,Inf,0
