lakeID,datetime,NLL,iota,R,GPP,DO0,convergence,sd_iota,sd_R,sd_GPP,GPP.weighted,R.weighted,thermo.depth,GPP.weighted.areal,R.weighted.areal
WL,6/2/12,-253.2460087,0.775561815,0.434029857,0.401072098,8.618929822,0,0.127593137,0.082590726,0.065983196,0.497907433,0.472752819,3.5,1742.676016,1654.634867
WL,6/3/12,-263.2132484,0.712058967,0.462558279,0.466232971,8.561404129,0,0.070815227,0.056647312,0.046367499,0.536966503,0.519407541,3.5,1879.382759,1817.926393
WL,6/4/12,-200.0484144,0.885582564,0.089460737,0.380871841,8.471058511,0,0.126890895,0.06899632,0.054573306,0.536554211,0.48922389,3.5,1877.939737,1712.283615
WL,6/5/12,-232.6904561,0.632082565,0.246908592,0.34637949,8.533909185,0,0.08848298,0.064961787,0.048488427,0.510835207,0.487413681,3.5,1787.923226,1705.947883
WL,6/6/12,-216.2812282,0.878600553,0.534255666,0.568438084,8.518983337,0,0.097740233,0.08434872,0.063236098,0.514976266,0.483866663,NA,NA,NA
WL,6/7/12,-204.6398368,1.330982551,0.684698465,0.747224696,8.33615482,0,0.102650552,0.073016561,0.057628876,0.518870004,0.478907089,3.494412422,1813.145787,1673.498879
WL,6/8/12,-243.0070885,1.63398266,0.678020995,0.580194336,8.306884567,0,0.259298422,0.120846917,0.092071648,0.518159745,0.496717075,3.495060672,1810.999746,1736.056313
WL,6/9/12,-227.7753915,0.573219282,0.266313923,0.402717595,8.124940912,0,0.099108188,0.088159777,0.069628871,0.509228503,0.474202052,3.33630264,1698.940398,1582.081558
WL,6/10/12,-289.9262779,0.761640026,0.163942449,0.521797995,8.035645757,0,0.075144929,0.066675742,0.051481634,0.506760091,0.497676719,3.167447872,1605.136172,1576.365063
WL,6/11/12,-245.6599131,0.705289364,0.248939848,0.425360505,7.936024043,0,0.154741727,0.124288948,0.093324843,0.490659729,0.489626797,2.761136059,1354.778271,1351.926204
WL,6/12/12,-281.7036037,0.783904932,0.544327659,0.470528592,7.969661973,0,0.065058507,0.055105706,0.03905051,0.416482046,0.430734572,2.854405262,1188.808544,1229.491029
WL,6/13/12,-337.7520985,0.440743957,0.181674399,0.307771811,8.014732548,0,0.056742041,0.03579846,0.039623006,0.395518829,0.382636842,NA,NA,NA
WL,6/14/12,-306.5826858,2.014352123,0.514086703,0.219343362,8.140508515,0,0.434480109,0.051666806,0.04731066,0.479083789,0.50432901,3.220169175,1542.730848,1624.024731
WL,6/15/12,-175.6684149,0.361063068,0.432203493,0.174865853,8.021971106,0,0.237952538,0.165828641,0.115242397,0.463733832,0.517102902,3.210887792,1488.9973,1660.359395
WL,6/16/12,-216.4030583,0.928796824,0.269777264,0.280172852,8.040029921,0,0.21599234,0.077276589,0.065154389,0.445228019,0.489831301,3.196512092,1423.176746,1565.751678
WL,6/17/12,-280.4054328,0.57848323,0.197396129,0.390421947,8.101762997,0,0.09158478,0.078888323,0.061811141,0.485948197,0.472690272,3.19918688,1554.639098,1512.224515
WL,6/18/12,-283.72259,1.819121785,0.807461148,0.729610586,8.24856682,0,0.105327504,0.057342024,0.042244594,0.491530107,0.484879083,3.187710943,1566.855899,1545.654358
WL,6/19/12,-173.8437133,0.980051878,0.060558952,0.287635017,8.169353434,0,0.372156881,0.135844164,0.109224168,0.504040134,0.475628002,3.174278523,1599.963773,1509.77575
WL,6/20/12,-301.1175864,1.011064487,0.257857827,0.36377679,8.177040378,0,0.067484366,0.032386376,0.024280594,0.527070688,0.465021598,NA,NA,NA
WL,6/21/12,-297.9864331,1.145342533,0.443573749,0.649795769,8.046158334,0,0.06887617,0.05122505,0.039076034,0.588557483,0.575619017,3.220631177,1895.526578,1853.856553
WL,6/22/12,-226.098129,0.610205976,0.278042127,0.325402083,8.191179982,0,0.101087237,0.066017657,0.053906384,0.599111118,0.588056487,3.219937166,1929.100155,1893.504938
WL,6/23/12,-247.2512106,1.585813704,0.46323659,0.468629975,8.081088193,0,0.143930039,0.049459192,0.042533326,0.600217776,0.602078486,3.282148599,1970.003932,1976.111059
WL,6/24/12,-249.9794186,1.079444072,0.320017896,0.634822558,8.087201151,0,0.087833676,0.071266575,0.051655107,0.62053687,0.604079629,3.311898224,2055.154958,2000.65025
WL,6/25/12,-159.1331656,1.396512416,1.147998749,1.007770879,8.233288042,0,0.136196016,0.130417641,0.09828368,0.678036479,0.684744046,3.340618099,2265.060934,2287.468353
WL,6/26/12,-32.40739276,0.490436893,0.30031915,0.346972182,8.012002716,0,0.426527075,0.384422042,0.301757539,0.68448824,0.734867294,3.327943558,2277.938228,2445.596879
WL,6/27/12,-161.0056245,1.36415904,1.118411119,0.901745124,8.190383817,0,0.176018784,0.155376792,0.116353061,0.754903082,0.816154324,3.266512251,2465.900167,2665.978097
WL,6/28/12,-196.3929874,1.338879731,0.574839839,0.722602688,7.957824862,0,0.169846672,0.12144047,0.091667429,0.791978355,0.880552888,3.248682267,2572.886038,2860.636553
WL,6/29/12,-149.4765165,1.03842025,0.917999038,0.7482777,8.035053072,0,0.207695661,0.188679336,0.149663907,0.858863198,1.00733667,3.217909558,2763.744095,3241.518298
WL,6/30/12,-136.9939482,1.005348913,0.769100008,0.668454398,7.855159191,0,0.219002774,0.188669606,0.145614488,0.875923297,0.959338992,3.120891842,2733.661872,2993.993233
WL,7/1/12,-102.5521829,1.619199108,1.220567631,1.159276846,7.766514403,0,0.318980375,0.294143577,0.228376215,0.873149423,0.958019704,3.040670049,2654.9593,2913.02182
WL,7/2/12,-150.018381,0.83579882,0.156530134,0.516403525,7.711195664,0,0.199873877,0.143886715,0.123493324,0.854078134,0.889701683,2.962878894,2530.530076,2636.078338
WL,7/3/12,-168.2880741,1.501569373,1.220530548,0.975100381,7.727216456,0,0.153427329,0.129557908,0.09963379,0.889133276,0.996846293,2.949772945,2622.741282,2940.470226
WL,7/4/12,-89.95096385,2.231112329,0.816202379,1.213113101,7.548028372,0,0.326851138,0.231456004,0.177717362,1.033742947,1.186631145,NA,NA,NA
WL,7/5/12,-67.30047562,0.900426225,0.721968056,0.56482424,7.632261434,0,0.370196963,0.300901895,0.232219156,1.095732353,1.314771627,2.858524947,3132.178266,3758.307495
WL,7/6/12,-122.6457674,1.753896107,0.435417093,0.737370809,7.497471762,0,0.31423859,0.166779486,0.132111795,1.067312761,1.294053336,2.778296281,2965.311073,3595.263572
WL,7/7/12,-80.46600751,1.528613655,1.32736109,0.974441313,7.702189839,0,0.267433818,0.224652788,0.17048033,1.109401872,1.308998758,2.861616598,3174.682811,3745.852571
WL,7/8/12,-87.38009097,2.605598453,1.993473915,1.727209598,7.578493734,0,0.317769229,0.271997773,0.210644146,1.205876231,1.57525856,2.949518417,3556.754154,4646.254133
WL,7/9/12,-61.549522,2.205473758,1.913722005,1.379439599,7.642317634,0,0.486476641,0.386403555,0.304272558,1.230557718,1.675352152,3.029600296,3728.098025,5075.647376
