"","X","ID1","ID2","Comment","Area.All.N","Ampl.N.28","Area.N.28","d15N","X.N","Area.All.C","Area.C.44","X.C","Ampl.C.45","Ampl.C.46","Area.C.46","d13C","mgN","mgC","flag","ProjectID","dateSample","lakeID","Site","depthClass","depth","volFiltered","comments","PON","POC","particulateP.ug","Cmol","Nmol","Pmol","CP","CN","NP","year"
"78",2,"P-0958",NA,NA,0.505,61,0.501,-0.545,0,4.087,4.022,0,336,420,0.018,-25.184,0.0039925,0.0847833,0,3,"08/14/2013","EL","outlet","Surface","0",140,"",0.0285178571428571,0.605595,0.6413046,7.05880442927317e-06,2.85036053401871e-07,2.07052787912052e-08,340.918105979402,24.7646020390305,13.7663470401056,"2013"
"79",3,"P-0969",NA,NA,1.008,126,1,0.292,0,5.224,5.141,0,425,529,0.023,-23.726,0.008268,0.1028616,0,15,"04/23/2014","EL","Inlet 1","surface","0",180,"1",0.0459333333333333,0.571453333333333,1.149057,8.5639497127633e-06,5.90276290426215e-07,3.70986665805702e-08,230.842520826571,14.508374894373,15.9109840011167,"2014"
"80",4,"P-0973",NA,NA,1.721,214,1.708,0.777,0,7.309,7.194,0,579,722,0.031,-29.789,0.0143285,0.1360131,0,3,"05/14/2014","WL","DH","PML","1",120,"1",0.119404166666667,1.1334425,1.25856,1.13240446257597e-05,1.02295280930963e-06,4.0634100668324e-08,278.683284224555,11.0699579909283,25.174737289241,"2014"
"81",5,"P-0974",NA,NA,1.709,210,1.696,-0.165,0,6.265,6.167,0,493,616,0.027,-34.374,0.0142265,0.1194135,0,3,"05/14/2014","WL","DH","Hypo","8",120,"1",0.118554166666667,0.9951125,2.363112,9.94201148946799e-06,1.01567073606054e-06,7.62958705969716e-08,130.308644644559,9.78861666136985,13.3122635355426,"2014"
"82",6,"P-0975",NA,NA,2.219,279,2.203,1.291,0,8.139,8.012,0,637,795,0.035,-32.738,0.0185615,0.1492101,0,3,"05/14/2014","EL","DH","PML","1",120,"1",0.154679166666667,1.2434175,1.820358,1.24227874448422e-05,1.32515884914686e-06,5.87724146837568e-08,211.371057522256,9.37456475715352,22.5472929141551,"2014"
"83",7,"P-0977",NA,NA,0.417,53,0.414,-4.528,0,3.236,3.185,0,259,323,0.014,-25.093,0.0032445,0.0712524,0,3,"05/14/2014","EL","Inlet 1","surface","0",140,"1",0.023175,0.508945714285714,0.520605,5.93226209308134e-06,2.31634182908546e-07,1.68083492073742e-08,352.935438209407,25.6104777740146,13.7809001973212,"2014"
"84",8,"P-0987",NA,NA,1.702,209,1.69,2.769,0,6.968,6.858,0,545,678,0.03,-26.545,0.014167,0.1305912,0,3,"05/21/2014","WL","DH","PML","2",120,"1",0.118058333333333,1.08826,NA,1.08726334193656e-05,1.01142285999857e-06,NA,NA,10.7498395076624,NA,"2014"
"85",9,"P-0988",NA,NA,1.737,216,1.724,2.986,0,6.395,6.294,0,498,623,0.027,-31.526,0.0144645,0.1214805,0,3,"05/21/2014","WL","DH","Hypo","8",120,"1",0.1205375,1.0123375,2.558313,1.01141037382399e-05,1.03266224030842e-06,8.25981661447066e-08,122.449495071364,9.79420312223215,12.5022417386272,"2014"
"86",10,"P-0989",NA,NA,1.96,252,1.945,2.663,0,7.402,7.286,0,584,723,0.032,-28.901,0.01636,0.1374918,0,3,"05/21/2014","EL","DH","PML","2",120,"1",0.136333333333333,1.145765,1.615635,1.14471567729581e-05,1.167987434854e-06,5.21626900849127e-08,219.451043539433,9.80075335689636,22.3912423410814,"2014"
"87",11,"P-0990",NA,NA,1.226,147,1.217,-3.892,0,5.737,5.647,0,432,541,0.025,-32.823,0.010121,0.1110183,0,3,"05/21/2014","EL","DH","Hypo","8",120,"1",0.0843416666666667,0.9251525,2.405961,9.24305220214803e-06,7.22567287784679e-07,7.76793013269622e-08,118.989898779378,12.7919604975287,9.301928254263,"2014"
"88",12,"P-1015",NA,NA,0.59,72,0.586,1.126,0,3.13,3.081,0,252,315,0.013,-28.334,0.004715,0.069567,0,15,"05/28/2014","WL","DH","PML","1",120,"1",0.0392916666666667,0.579725,0.5047542,5.79194072100575e-06,3.36617405582923e-07,1.62965873502728e-08,355.408196606806,17.2063019467927,20.6556991563812,"2014"
"89",13,"P-1016",NA,NA,1.66,204,1.647,-4.153,0,6.726,6.621,0,520,654,0.029,-35.838,0.01381,0.1267434,0,15,"05/28/2014","WL","DH","Hypo","10",120,"1",0.115083333333333,1.056195,2.3561442,1.05522770793439e-05,9.85935603626758e-07,7.60709069189294e-08,138.71633068066,10.7028055793172,12.9607446993828,"2014"
"90",14,"P-1017",NA,NA,1.225,151,1.216,3.516,0,4.843,4.766,0,382,478,0.021,-28.796,0.0101125,0.0968037,0,15,"05/28/2014","EL","DH","PML","0.5",120,"1",0.0842708333333333,0.8066975,1.072881,8.05958704520856e-06,7.21960448347255e-07,3.46392341716979e-08,232.672206471402,11.1634744862533,20.8422751140709,"2014"
"91",15,"P-1018",NA,NA,1.23,153,1.221,-1.371,0,5.821,5.729,0,459,576,0.025,-31.967,0.010155,0.1123539,0,15,"05/28/2014","EL","DH","Hypo","8",120,"1",0.084625,0.9362825,1.715616,9.3542502705853e-06,7.24994645534376e-07,5.53906951215575e-08,168.877647230405,12.9025094574188,13.0887443088291,"2014"
"92",16,"P-1019",NA,NA,0.534,65,0.53,-2.552,0,3.307,3.255,0,262,326,0.014,-31.269,0.004239,0.0723813,0,15,"05/28/2014","EL","Inlet","surface","0",160,"1",0.02649375,0.452383125,0.477756,6.02625093664141e-06,3.02634397087171e-07,1.54249184773835e-08,390.682838646913,19.9126437531343,19.6198377016321,"2014"
"93",17,"P-1026",NA,NA,0.637,78,0.632,-1.736,0,3.219,3.168,0,260,325,0.014,-28.961,0.0051145,0.0709821,0,3,"06/04/2014","WL","DH","PML","1.5",140,"",0.0365321428571429,0.507015,0.63963,5.90975772208809e-06,3.65138859141858e-07,2.0651212346237e-08,286.170013798969,16.1849597054038,17.6812311558256,"2014"
"94",18,"P-1027",NA,NA,1.67,208,1.657,-3.233,0,7.113,7.001,0,561,704,0.031,-34.331,0.013895,0.1328967,0,3,"06/04/2014","WL","DH","Hypo","8",140,"",0.09925,0.949262142857143,2.553552,1.10645824660728e-05,9.92003998001e-07,8.24444516191522e-08,134.206514189518,11.1537680174366,12.0323924596346,"2014"
"95",19,"P-1028",NA,NA,0.905,116,0.898,-1.127,0,4.273,4.206,0,339,424,0.018,-29.812,0.0073925,0.0877407,0,3,"06/04/2014","EL","DH","PML","1.5",120,"",0.0616041666666667,0.7311725,0.963378,7.30502872366997e-06,5.27771828371528e-07,3.11038000839441e-08,234.859686081922,13.8412630818323,16.9680819368424,"2014"
"96",20,"P-1029",NA,NA,1.077,130,1.069,-1.192,0,5.705,5.616,0,441,548,0.024,-31.688,0.0088545,0.1105095,0,3,"06/04/2014","EL","DH","Hypo","8",120,"",0.0737875,0.9209125,1.815597,9.20069103321955e-06,6.32148211608481e-07,5.86187001582023e-08,156.958291609817,14.5546421934955,10.7840707812083,"2014"
"97",21,"P-1030",NA,NA,0.927,115,0.92,-1.926,0,5.501,5.414,0,441,550,0.024,-28.653,0.0075795,0.1072659,0,3,"06/04/2014","EL","Inlet","surface","0",120,"",0.0631625,0.8938825,1.325214,8.93063858130047e-06,5.4112229599486e-07,4.27861040260872e-08,208.727547987434,16.5039190722707,12.6471504782237,"2014"
"98",22,"P-1056",NA,NA,0.523,63,0.519,-0.766,0,2.81,2.765,0,227,284,0.012,-28.19,0.0041455,0.064479,0,3,"06/11/2014","WL","DH","PML","1.5",140,"1",0.0296107142857143,0.460564285714286,0.5458962,5.36832903172092e-06,2.95959163275505e-07,1.76249055629096e-08,304.587676374175,18.1387491852165,16.7920992381559,"2014"
"99",23,"P-1057",NA,NA,1.849,230,1.835,-2.372,0,7.705,7.584,0,604,759,0.033,-34.245,0.0154165,0.1423095,0,3,"06/11/2014","WL","DH","Hypo","8",140,"1",0.110117857142857,1.01649642857143,2.598882,1.18482640912497e-05,1.10062825729992e-06,8.39079843734866e-08,141.205442839758,10.7650008190014,13.1170861213978,"2014"
"100",24,"P-1058",NA,NA,0.761,94,0.755,0.868,0,3.48,3.425,0,284,353,0.015,-29.408,0.0069163,0.068084,0,3,"06/11/2014","EL","DH","PML","1",140,"1",0.0494021428571429,0.486314285714286,0.91206,5.66847056864541e-06,4.93774541300778e-07,2.94469376553773e-08,192.497795016396,11.4798761266886,16.7682815469476,"2014"
"101",25,"P-1059",NA,NA,1.421,175,1.411,-0.973,0,6.465,6.364,0,511,641,0.028,-33.289,0.0123943,0.115247,0,3,"06/11/2014","EL","DH","Hypo","8",140,"1",0.0885307142857143,0.823192857142857,2.1380916,9.59512113895596e-06,8.84864710501892e-07,6.90308203919543e-08,138.997640249315,10.8436024457497,12.8184006140687,"2014"
"102",26,"P-1060",NA,NA,0.746,89,0.74,-0.094,0,3.776,3.716,0,301,377,0.016,-27.744,0.0067918,0.0727608,0,3,"06/11/2014","EL","Outlet","surface","0",120,"1",0.0565983333333333,0.60634,1.0066866,6.05784697360753e-06,4.84886128364389e-07,3.25020695444419e-08,186.383422917863,12.4933394032982,14.9186231880212,"2014"
"103",27,"P-1061",NA,NA,NA,NA,NA,NA,NA,2.989,2.942,0,248,310,0.013,-25.56,NA,0.0603262,0,3,"06/11/2014","EL","Inlet ","surface","0",140,"1",NA,0.430901428571429,0.5047542,5.02257930230622e-06,NA,1.62965873502728e-08,308.198225453757,NA,NA,"2014"
"104",28,"P-1081",NA,NA,0.719,95,0.713,1.131,0,3.405,3.351,0,283,355,0.015,-27.892,0.0065677,0.066899,0,3,"06/18/2014","WL","DH","PML","1",140,"",0.0469121428571429,0.47785,0.806265,5.5698110065773e-06,4.68886985078889e-07,2.60312207406451e-08,213.966569684556,11.8787920838541,18.0124854593073,"2014"
"105",29,"P-1082",NA,NA,1.573,206,1.561,-1.163,0,6.423,6.322,0,521,657,0.028,-33.548,0.0136559,0.1145834,0,3,"06/18/2014","WL","DH","Hypo","8",140,"",0.0975421428571429,0.818452857142857,2.801124,9.53987178419782e-06,9.74933961590633e-07,9.04376069479869e-08,105.485672455757,9.78514664586434,10.7801830951956,"2014"
"106",30,"P-1084",NA,NA,1.366,180,1.356,-1.875,0,6.454,6.353,0,516,648,0.028,-33.352,0.0119378,0.1150732,0,3,"06/18/2014","EL","DH","Hypo","8",140,"",0.08527,0.821951428571428,2.8773,9.58065106985264e-06,8.52273863068466e-07,9.28970393568592e-08,103.13193118081,11.2412822744078,9.17439209009126,"2014"
"107",31,"P-1085",NA,NA,0.751,100,0.745,0.426,0,4.618,4.545,0,372,465,0.02,-28.038,0.0068333,0.0860644,0,3,"06/18/2014","EL","Outlet","surface","0",120,"",0.0569441666666667,0.717203333333333,1.134774,7.16546499042544e-06,4.87848932676519e-07,3.66375230039066e-08,195.577222555722,14.687876739041,13.3155544555919,"2014"
"108",32,"P-1086",NA,NA,0.63,83,0.625,0.298,0,3.356,3.303,0,271,340,0.014,-28.078,0.005829,0.0661248,0,3,"06/18/2014","EL","Inlet ","surface","0",120,"",0.048575,0.55104,0.439668,5.50535342602614e-06,4.16149068322981e-07,1.41952022729474e-08,387.831981550415,13.2292821132867,29.3161774183423,"2014"
"109",33,"P-1116",NA,NA,0.776,98,0.77,0.087,0,3.406,3.352,0,274,342,0.015,-28.898,0.0070408,0.0669148,0,3,"06/25/2014","WL","DH","PML","1.5",140,"1",0.0502914285714286,0.477962857142857,0.8873748,5.57112646740488e-06,5.02662954237167e-07,2.86499467277952e-08,194.455037572547,11.0832246944864,17.5449873960673,"2014"
"110",34,"P-1117",NA,NA,1.8,243,1.786,-3.24,0,7.09,6.979,0,568,713,0.031,-34.563,0.01554,0.125122,0,3,"06/25/2014","WL","DH","Hypo","8",140,"1",0.111,0.893728571428571,2.6235672,1.04172841561902e-05,1.10944527736132e-06,8.47049753010687e-08,122.983143778317,9.38963315159302,13.0977581118228,"2014"
"111",35,"P-1118",NA,NA,0.874,111,0.867,0.049,0,3.494,3.439,0,280,353,0.015,-29.609,0.0078542,0.0683052,0,3,"06/25/2014","EL","DH","PML","1",140,"1",0.0561014285714286,0.487894285714286,0.4670919,5.68688702023145e-06,5.60733918754908e-07,1.50806153746812e-08,377.099135475543,10.1418637789185,37.1824295510065,"2014"
"112",36,"P-1119",NA,NA,1.626,210,1.614,-3.908,0,6.321,6.222,0,506,637,0.027,-34.466,0.0140958,0.1129718,0,3,"06/25/2014","EL","DH","Hypo","8",140,"1",0.100684285714286,0.806941428571428,2.40507,9.4056947797852e-06,1.00633968729921e-06,7.76505343363575e-08,121.128526161104,9.34644126480592,12.9598552785234,"2014"
"113",37,"P-1120",NA,NA,2.66,344,2.64,0.524,0,14.43,14.204,0,1142,1419,0.062,-28.65,0.022678,0.241094,0,3,"06/25/2014","EL","Outlet","surface","0",140,"1",0.161985714285714,1.7221,1.5502113,2.00727666305886e-05,1.61904761904762e-06,5.0050408420237e-08,401.051005659178,12.3978852718342,32.3483398068134,"2014"
"114",38,"P-1121",NA,NA,0.683,82,0.678,1.035,0,4.496,4.425,0,356,443,0.019,-25.549,0.0062689,0.0841368,0,3,"06/25/2014","EL","Inlet","surface","0",120,"1",0.0522408333333333,0.70114,0.3551994,7.00497876946133e-06,4.47554794031556e-07,1.14680334484874e-08,610.826503159988,15.6516673776651,39.026289558877,"2014"
"115",39,"P-1139",NA,NA,0.844,105,0.837,0.175,0,3.843,3.782,0,307,384,0.017,-30.138,0.0076052,0.0738194,0,3,"07/02/2014","WL","DH","PML","2",140,"1",0.0543228571428571,0.527281428571428,0.6461199,6.14598284905503e-06,5.4295709288213e-07,2.08607464565912e-08,294.619507592602,11.3194632313041,26.0276924419728,"2014"
"116",40,"P-1140",NA,NA,1.773,231,1.759,-2.982,0,6.324,6.225,0,506,637,0.027,-34.762,0.0153159,0.1130192,0,3,"07/02/2014","WL","DH","Hypo","8",120,"1",0.1276325,0.941826666666667,2.5214382,9.40964116226792e-06,1.09344613407582e-06,8.1407619539599e-08,115.586737647952,8.60549127115526,13.4317418966407,"2014"
"117",41,"P-1141",NA,NA,0.543,69,0.539,-0.632,0,2.684,2.641,0,217,272,0.012,-29.72,0.0051069,0.0555072,0,3,"07/02/2014","EL","DH","PML","1.5",120,"1",0.0425575,0.46256,0.6058386,4.62136374989593e-06,3.64596273291926e-07,1.95602169631615e-08,236.263419705391,12.6752906939224,18.6396845177425,"2014"
"118",42,"P-1142",NA,NA,1.301,162,1.292,-3.536,0,5.323,5.24,0,423,532,0.023,-34.414,0.0113983,0.0972034,0,3,"07/02/2014","EL","DH","Hypo","8",120,"1",0.0949858333333333,0.810028333333333,2.3200317,8.09286487386562e-06,8.1375740701078e-07,7.49049720724502e-08,108.041758109702,9.94505832345488,10.863863699511,"2014"
"119",43,"P-1143",NA,NA,1.343,166,1.333,-0.405,0,7.05,6.939,0,563,697,0.03,-28.802,0.0117469,0.12449,0,3,"07/02/2014","EL","Outlet","surface","0",120,"1",0.0978908333333333,1.03741666666667,1.4517459,1.03646657230872e-05,8.38644963232669e-07,4.68713363251865e-08,221.130151937181,12.3588242671072,17.8924909973608,"2014"
"120",44,"P-1164",NA,NA,0.774,98,0.768,-2.328,0,3.873,3.812,0,319,400,0.017,-30.101,0.0070242,0.0742934,0,3,"07/09/2014","WL","DH","PML","2",140,"1",0.0501728571428571,0.530667142857143,0.5294394,6.18544667388227e-06,5.01477832512315e-07,1.70935782778549e-08,361.85791958467,12.3344368840678,29.337206309927,"2014"
"121",45,"P-1165",NA,NA,1.853,241,1.839,-2.772,0,7.043,6.933,0,578,725,0.03,-34.027,0.0159799,0.1243794,0,3,"07/09/2014","WL","DH","Hypo","8",120,"1",0.133165833333333,1.036495,2.3232306,1.03554574972941e-05,1.14085100306989e-06,7.50082523488199e-08,138.0575759736,9.07695875221992,15.2096731672197,"2014"
"122",46,"P-1166",NA,NA,1.034,127,1.026,0.738,0,4.469,4.399,0,364,456,0.019,-29.359,0.0091822,0.0837102,0,3,"07/09/2014","EL","DH","PML","2",120,"1",0.0765183333333333,0.697585,0.8050908,6.96946132711681e-06,6.55543656743057e-07,2.59933103025215e-08,268.12519244387,10.6315746562834,25.2197064980779,"2014"
"123",47,"P-1167",NA,NA,1.253,162,1.244,-2.287,0,5.322,5.238,0,438,551,0.023,-33.073,0.0109999,0.0971876,0,3,"07/09/2014","EL","DH","Hypo","8",120,"1",0.0916658333333333,0.809896666666667,1.9323816,8.09154941303805e-06,7.85314485614336e-07,6.23892293287702e-08,129.694652427878,10.3035784532972,12.587340700684,"2014"
"124",48,"P-1168",NA,NA,0.897,110,0.89,-0.089,0,4.163,4.097,0,340,426,0.018,-29.096,0.0080451,0.0788754,0,3,"07/09/2014","EL","Outlet","surface","0",120,"1",0.0670425,0.657295,0.7762914,6.56693031387894e-06,5.74362818590705e-07,2.50634875536758e-08,262.011832942852,11.4334182181082,22.9163167081458,"2014"
"125",49,"P-1169",NA,NA,NA,NA,NA,NA,NA,2.942,2.896,0,241,302,0.013,-25.562,NA,0.0595836,0,3,"07/09/2014","EL","Inlet ","surface","0",140,"1",NA,0.425597142857143,0.3689856,4.96075264341021e-06,NA,1.19131372485713e-08,416.410265398824,NA,NA,"2014"
"126",50,"P-1206",NA,NA,0.656,79,0.651,-2.157,0,3.247,3.196,0,265,333,0.014,-30.278,0.0060448,0.0644026,0,3,"07/16/2014","WL","DH","PML","2.5",140,"1",0.0431771428571429,0.460018571428571,0.6981216,5.3619681958205e-06,4.31555650746056e-07,2.25396829496658e-08,237.890133938197,12.4247433362324,19.1464827482169,"2014"
"127",51,"P-1207",NA,NA,2.309,287,2.291,-2.824,0,7.871,7.747,0,638,801,0.034,-34.085,0.0197647,0.1374618,0,3,"07/16/2014","WL","DH","Hypo","8",140,"1",0.141176428571429,0.98187,2.886876,1.1444659062526e-05,1.41105875633612e-06,9.32062118619443e-08,122.788587089857,8.11068923326951,15.139106376581,"2014"
"128",52,"P-1208",NA,NA,0.914,119,0.907,1.577,0,4.348,4.279,0,359,448,0.019,-29.407,0.021399,0.1592228,0,3,"07/16/2014","EL","DH","PML","2",140,"1",0.15285,1.13730571428571,1.4181066,1.32564149529598e-05,1.52773613193403e-06,4.57852516708101e-08,289.53460927269,8.67716268265375,33.3674289467328,"2014"
"129",53,"P-1209",NA,NA,1.375,170,1.365,-1.515,0,5.772,5.681,0,462,579,0.025,-33.121,0.0230125,0.1679092,0,3,"07/16/2014","EL","DH","Hypo","8",140,"1",0.164375,1.19935142857143,1.9858662,1.3979618682874e-05,1.64292853573213e-06,6.41160430051981e-08,218.036204787945,8.50896334127177,25.6242971138898,"2014"
"130",54,"P-1210",NA,NA,1.494,185,1.483,1.44,0,6.422,6.321,0,499,625,0.028,-30.059,0.023429,0.1718742,0,3,"07/16/2014","EL","Outlet","surface","0",140,"1",0.16735,1.22767285714286,0.9490878,1.43097327449838e-05,1.67266366816592e-06,3.06424240467504e-08,466.990885680316,8.5550568337952,54.5865322408559,"2014"
"131",55,"P-1211",NA,NA,0.513,64,0.51,3.29,0,3.663,3.606,0,298,371,0.016,-26.443,0.0199955,0.1550443,0,3,"07/16/2014","EL","Inlet 1","surface","0",140,"1",0.142825,1.10745928571429,0.70635,1.29085255182749e-05,1.42753623188406e-06,2.28053465921932e-08,566.03066592699,9.04252041381695,62.5965593687902,"2014"
"132",56,"P-1234",NA,NA,0.807,102,0.801,-0.686,0,4.319,4.251,0,348,436,0.019,-33.708,0.0210245,0.1590459,0,3,"07/23/2014","WL","DH","PML","2.5",140,"",0.150175,1.13604214285714,0.3283452,1.32416867871118e-05,1.50099950024988e-06,1.06010137862009e-08,1249.0962708065,8.82191285533902,141.590184724002,"2014"
"133",57,"P-1236",NA,NA,0.973,125,0.966,-1.353,0,5.167,5.086,0,436,546,0.022,-31.974,0.0216055,0.1642187,0,3,"07/23/2014","EL","DH","PML","1.5",140,"",0.154325,1.17299071428571,0.793818,1.36723586712181e-05,1.54247876061969e-06,2.5629354599167e-08,533.464805690519,8.86388780207592,60.1840656834106,"2014"
"134",58,"P-1237",NA,NA,1.452,186,1.441,-0.907,0,6.376,6.276,0,532,669,0.027,-34.655,0.023282,0.1715936,0,3,"07/23/2014","EL","DH","Hypo","8",140,"",0.1663,1.22566857142857,2.2752747,1.42863708267422e-05,1.66216891554223e-06,7.34599393019727e-08,194.478391385746,8.5950174456738,22.6268757003668,"2014"
"135",59,"P-1238",NA,NA,1.113,139,1.104,-0.407,0,6.354,6.254,0,525,658,0.027,-30.294,0.0220955,0.1714594,0,3,"07/23/2014","EL","Outlet","surface","0",140,"",0.157825,1.22471,0.8430507,1.42751977354092e-05,1.57746126936532e-06,2.72188906466923e-08,524.45920448062,9.04947589689651,57.9546495792625,"2014"
"136",60,"P-1239",NA,NA,0.6,73,0.596,4.643,0,4.792,4.717,0,408,509,0.021,-28.649,0.0203,0.1619312,0,3,"07/23/2014","EL","Inlet 1","surface","0",140,"",0.145,1.15665142857143,0.5208003,1.34819082507701e-05,1.44927536231884e-06,1.68146546992542e-08,801.795130016444,9.30251669303139,86.1912057214665,"2014"
"137",61,"P-1264",NA,NA,0.915,118,0.908,1.544,0,4.543,4.472,0,383,478,0.019,-32.954,0.0214025,0.1604123,0,3,"07/30/2014","WL","DH","PML","2",140,"Rep 1",0.152875,1.14580214285714,0.5028975,1.33554491715927e-05,1.5279860069965e-06,1.62366415910632e-08,822.54997726523,8.74055725015765,94.1072695622918,"2014"
"138",62,"P-1265",NA,NA,2.666,357,2.646,-2.032,0,9.7,9.548,0,813,1017,0.042,-33.745,0.027531,0.19187,0,3,"07/30/2014","WL","DH","Hypo","8",140,"1",0.19665,1.3705,2.7228447,1.59745233535925e-05,1.96551724137931e-06,8.79102670067478e-08,181.713966951851,8.1273890746348,22.3582217220253,"2014"
"139",63,"P-1266",NA,NA,0.791,96,0.785,0.158,0,3.446,3.392,0,287,360,0.015,-30.45,0.0209685,0.1537206,0,3,"07/30/2014","WL","DH","PML","2",140,"2",0.149775,1.09800428571429,0.6326928,1.27983182083091e-05,1.49700149925037e-06,2.0427236625448e-08,626.532038717615,8.54930219823949,73.2845820851476,"2014"
"140",64,"P-1267",NA,NA,2.711,364,2.69,-1.813,0,10.847,10.677,0,906,1136,0.047,-35.487,0.0276885,0.1988667,0,3,"07/30/2014","WL","DH","Hypo","8",140,"2",0.197775,1.42047642857143,2.5035354,1.65570477062693e-05,1.97676161919041e-06,8.0829606431408e-08,204.838900463032,8.37584438383132,24.4559104821064,"2014"
"141",65,"P-1268",NA,NA,0.847,104,0.841,22.083,0,3.732,3.673,0,312,391,0.016,-30.489,0.0211645,0.1554652,0,3,"07/30/2014","WL","DH","PML","2",140,"3",0.151175,1.11046571428571,0.5431788,1.29435683956373e-05,1.51099450274863e-06,1.75371710844929e-08,738.064784409987,8.56625776737897,86.1595348228487,"2014"
"142",66,"P-1269",NA,NA,2.735,365,2.715,-2.306,0,12.699,12.499,0,1065,1327,0.054,-30.954,0.0277725,0.2101639,0,3,"07/30/2014","WL","DH","Hypo","8",140,"3",0.198375,1.50117071428571,3.21057,1.74976188493881e-05,1.98275862068966e-06,1.03657056145675e-07,168.802969136975,8.82488602838702,19.1280622315105,"2014"
"143",67,"P-1270",NA,NA,0.886,113,0.879,0.206,0,3.853,3.792,0,324,405,0.017,-30.244,0.021301,0.1562033,0,3,"07/30/2014","WL","DH","PML","2",140,"4",0.15215,1.11573785714286,0.6103143,1.30050203979685e-05,1.52073963018491e-06,1.97047202402092e-08,659.995180821225,8.55177318972561,77.1764131460088,"2014"
"144",68,"P-1271",NA,NA,2.013,255,1.997,-0.888,0,8.439,8.306,0,689,864,0.036,-34.572,0.0252455,0.1841779,0,3,"07/30/2014","WL","DH","Hypo","8",140,"4",0.180325,1.31555642857143,2.344068,1.53341020730997e-05,1.80234882558721e-06,7.56810124947535e-08,202.614917105697,8.50784368453415,23.8150728455457,"2014"
"145",69,"P-1272",NA,NA,1.19,146,1.181,0.439,0,6.131,6.035,0,504,631,0.026,-32.902,0.022365,0.1700991,0,3,"07/30/2014","EL","DH","PML","1.5",140,"",0.15975,1.21499357142857,0.838575,1.41619432187162e-05,1.59670164917541e-06,2.70743873696445e-08,523.075297156839,8.86949871068891,58.974617869493,"2014"
"146",70,"P-1273",NA,NA,1.686,213,1.673,-2.544,0,7.296,7.182,0,594,746,0.031,-34.681,0.024101,0.1772056,0,3,"07/30/2014","EL","DH","Hypo","8",140,"",0.17215,1.26575428571429,2.1723336,1.47536091915744e-05,1.72063968015992e-06,7.01363639298744e-08,210.356060179078,8.57449084877733,24.532775635194,"2014"
"147",71,"P-1274",NA,NA,3.923,502,3.894,0.859,0,22.441,22.089,0,1813,2239,0.096,-29.11,0.0319305,0.2695901,0,3,"07/30/2014","EL","Outlet","surface","0",70,"",0.45615,3.85128714285714,2.986803,2.24452668387312e-05,2.27961019490255e-06,9.6432473444613e-08,232.756311613461,9.84609863954863,23.6394454427415,"2014"
"148",72,"P-1275",NA,NA,0.806,108,0.8,0.701,0,6.26,6.162,0,535,664,0.027,-26.578,0.0073734,0.121516,0,3,"07/30/2014","EL","Inlet ","surface","0",140,"",0.0526671428571428,0.867971428571429,0.6282171,1.01170593622513e-05,5.26408224459199e-07,2.02827333484002e-08,498.801576122345,19.2190374165315,25.9535150128431,"2014"
"149",73,"P-1305",NA,NA,0.906,121,0.899,1.786,0,4.004,3.941,0,341,427,0.017,-30.331,0.0082634,0.0840664,0,3,"08/06/2014","WL","DH","PML","2",140,"",0.0590242857142857,0.600474285714286,0.4939461,6.99911747564732e-06,5.89947883201257e-07,1.59476350369677e-08,438.881217147427,11.8639589613709,36.9928131559142,"2014"
"150",74,"P-1306",NA,NA,2.14,289,2.124,-2.459,0,7.547,7.429,0,630,791,0.032,-34.101,0.019246,0.1428802,0,3,"08/06/2014","WL","DH","Hypo","8",140,"",0.137471428571429,1.02057285714286,2.4632541,1.18957788693697e-05,1.37402727207825e-06,7.95290769379782e-08,149.577730905224,8.65760026100291,17.2770428751461,"2014"
"151",75,"P-1307",NA,NA,1.182,158,1.173,0.294,0,4.441,4.371,0,376,471,0.019,-29.732,0.0107198,0.0913206,0,3,"08/06/2014","EL","DH","PML","1.5",140,"",0.07657,0.65229,0.8475264,7.60308050953293e-06,7.65317341329335e-07,2.736339392374e-08,277.855902331495,9.93454623192856,27.9686556229912,"2014"
"152",76,"P-1308",NA,NA,1.256,169,1.246,-1.047,0,4.999,4.92,0,425,534,0.022,-31.756,0.0113784,0.1005834,0,3,"08/06/2014","EL","DH","Hypo","8",140,"",0.0812742857142857,0.718452857142857,1.5278328,8.37427358254933e-06,8.12336688798458e-07,4.93278920349982e-08,169.767513612943,10.3088703219054,16.468100607707,"2014"
"153",77,"P-1309",NA,NA,1.377,181,1.367,1.929,0,5.785,5.694,0,486,608,0.025,-28.776,0.0124553,0.113631,0,3,"08/06/2014","EL","Outlet","surface","0",140,"",0.0889664285714286,0.81165,1.2771936,9.46057780367996e-06,8.89219675876348e-07,4.12357085203242e-08,229.426827940086,10.6391908100283,21.5643118012164,"2014"
"154",78,"P-1326",NA,NA,0.979,131,0.972,1.33,0,4.039,3.976,0,343,430,0.017,-30.366,0.0089131,0.0846474,0,3,"08/12/2014","WL","DH","PML","2",140,"",0.063665,0.604624285714286,NA,7.04748980101573e-06,6.36331834082959e-07,NA,NA,11.0751803124421,NA,"2014"
"155",79,"P-1327",NA,NA,2.169,288,2.152,-1.678,0,7.358,7.243,0,612,769,0.032,-34.044,0.0195041,0.1397428,0,3,"08/12/2014","WL","DH","Hypo","8",140,"",0.139315,0.998162857142857,2.891583,1.16345683123803e-05,1.39245377311344e-06,9.33581829335227e-08,124.622908745609,8.3554431299835,14.9151764672301,"2014"
