Zoop ID,Project ID,Sample date,Count date,Time,Lake ID,Site,Depth Top (m),Depth Bottom (m),chaob counts
Z141,16,5/30/13,6/20/13,23:00,,Deephole,2,2.5,4
Z152,16,5/31/13,6/20/13,11:30,,Deephole,8,8.5,2
Z140,16,5/30/13,6/18/13,23:00,,Deephole,0,0.5,15
Z144,16,5/30/13,6/18/13,23:00,,Deephole,8,8.5,0
Z147,16,5/30/13,6/18/13,23:00,,Deephole,14,14.5,0
Z146,16,5/30/13,6/14/13,23:00,,Deephole,12,12.5,1
Z150,16,5/31/13,6/17/13,11:30,,Deephole,4,4.5,0
Z153,16,5/31/13,6/17/13,11:30,,Deephole,10,10.5,2
Z123,16,5/29/13,6/14/13,23:00,,Deephole,2,2.5,11
Z142,16,5/30/13,6/14/13,23:00,,Deephole,4,4.5,1
Z154,16,5/31/13,6/14/13,11:30,,Deephole,12,12.5,0
Z125,16,5/29/13,6/13/13,23:00,,Deephole,4,4.5,3
Z124,16,5/29/13,6/13/13,23:00,,Deephole,3,3.5,4
Z133,16,5/28/13,6/14/13,11:00,,Deephole,4,4.5,31
Z86,16,5/24/13,5/30/13,11:30,,Deephole,1,1.5,0
Z85,16,5/24/13,5/30/13,11:30,,Deephole,0,0.5,0
Z117,16,5/29/13,6/13/13,11:30,,Deephole,3,3.5,1
Z111,16,5/28/13,6/7/13,23:00,,Deephole,3,3.5,10
Z110,16,5/28/13,6/11/13,23:00,,Deephole,2,2.5,45
Z109,16,5/28/13,6/11/13,23:00,,Deephole,1,1.5,16
Z239,16,6/10/13,6/12/13,11:00,,Deephole,0,10.5,87
Z258,16,6/12/13,6/16/13,9:00,,Deephole,0,10,33
Z253,16,6/12/13,6/17/13,10:05,,Deephole,0,10,15
Z151,16,5/31/13,6/17/13,11:30,,Deephole,6,6.5,1
Z116,16,5/29/13,6/17/13,11:30,,Deephole,2,2.5,1
Z145,16,5/30/13,6/17/13,23:00,,Deephole,10,10.5,0
Z189,16,6/5/13,6/5/13,12:00,,Deephole,0,10,25
Z216,16,6/6/13,6/7/13,12:00,,Deephole,0,5,0
Z121,16,5/29/13,6/11/13,23:00,,Deephole,0,0.5,17
Z137,17,5/27/13,7/16/13,9:15,BR,Deephole,0,3.5,0
Z324,17,6/28/13,7/16/13,12:15,BA,Deephole,0,10,0
Z134,17,5/24/13,7/18/13,10:30,WA,Deephole,0,5,0
Z136,17,5/27/13,7/10/13,12:04,CR,Deephole,0,8,0
Z316,17,5/30/13,7/11/13,8:38,PA,Deephole,0,,0
Z138,17,5/28/13,7/11/13,11:00,NG,Deephole,0,1,0
Z321,17,7/1/13,7/17/13,8:55,TU,Deephole,0,8,0
Z322,17,7/1/13,7/17/13,9:42,PA,Deephole,0,6,1
Z301,16,6/26/13,7/1/13,9:00,WL,Deephole,0,10,12
Z135,17,5/27/13,7/10/13,15:48,BO,Deephole,0,1.5,0
Z314,17,5/21/13,7/15/13,8:50,TU,Deephole,0,10,31
Z178,16,6/4/13,7/16/13,12:00,BR,Deephole,0,3,1
Z157,16,6/2/13,7/18/13,23:30,BA,Deephole,0,5,0
Z241,16,6/10/13,7/18/13,23:00,DW,Deephole,0,1,7
Z220,16,6/7/13,7/5/13,11:00,HB,Deephole,0,3,0
Z217,16,6/7/13,7/5/13,11:00,HB,Deephole,0,0,0
Z284,16,6/13/13,7/8/13,23:30,RS,Deephole,0,3,6
Z229,16,6/9/13,7/4/13,23:30,TU,Deephole,0,9,0
Z232,16,6/10/13,7/5/13,13:30,TU,Deephole,0,1.5,0
Z231,16,6/10/13,7/5/13,13:30,TU,Deephole,0,0,0
Z199,16,6/6/13,7/4/13,12:00,RB,Deephole,0,0,0
Z282,16,6/13/13,7/4/13,23:30,RS,Deephole,0,1,64
Z201,16,6/6/13,7/4/13,12:00,RB,Deephole,0,2,0
Z230,16,6/9/13,7/15/13,23:30,TU,Deephole,0,10.5,6
Z226,16,6/9/13,7/16/13,23:30,TU,Deephole,0,4.5,1
Z225,16,6/9/13,7/16/13,23:30,TU,Deephole,0,3,10
Z233,16,6/10/13,7/3/13,13:30,TU,Deephole,0,3,0
Z236,16,6/10/13,7/3/13,13:30,TU,Deephole,0,7.5,0
Z227,16,6/9/13,7/4/13,23:30,TU,Deephole,0,6,3
Z221,16,6/7/13,7/2/13,11:00,HB,Deephole,0,4,0
Z219,16,6/7/13,7/2/13,11:00,HB,Deephole,0,2,0
Z237,16,6/10/13,7/2/13,13:30,TU,Deephole,0,9,18
Z203,16,6/6/13,7/9/13,12:00,RB,Deephole,0,4,0
