Zoop ID,Project ID,Sample date,Count date,Time,Lake ID,Site,Depth Top (m),Depth Bottom (m),weight empty jar,weight jar full,weight subsample
Z98,16,5/27/13,5/30/13,11:00,TU,Deephole,10.5,11,10,20,10
Z128,16,5/28/13,6/3/13,,CB,Deephole,0,3,12.3755,25.944,4.1314
Z97,16,5/27/13,6/2/13,11:00,TU,Deephole,9,9.5,10,20,10
Z155,16,5/31/13,6/4/13,11:30,RE,Deephole,0,11,12.4788,23.5959,5.7359
Z163,16,6/3/13,6/4/13,12:00,BA,Deephole,0,7,12.6216,46.2719,6.5833
Z187,16,6/4/13,6/5/13,12:00,BR,Deephole,0,2.5,12.5573,37.5688,1.6689
Z101,16,5/28/13,6/5/13,12:00,BR,Deephole,1.5,2,10,20,10
Z190,16,6/5/13,6/5/13,12:00,EL,Deephole,0,9,12.5472,35.6185,9.0015
Z292,16,6/14/13,6/27/13,11:30,RE,Deephole,10,10.5,20,30,10
Z291,16,6/14/13,6/27/13,11:30,RE,Deephole,8,8.5,20,30,10
Z235,16,6/10/13,6/28/13,13:30,TU,Deephole,6,6.5,20,30,10
Z256,16,6/12/13,6/17/13,,WL,Deephole,0,10,12.5113,29.5734,13.918
Z298,16,6/19/13,6/24/13,,EL,Deephole,0,10,12.4109,30.6935,11.3912
Z297,16,6/19/13,7/1/13,11:00,WL,Deephole,0,10,12.4894,24.0099,11.5205
Z280,16,6/13/13,7/1/13,12:00,RS,Deephole,4,4.5,20,30,10
Z238,16,6/10/13,7/1/13,13:30,TU,Deephole,10.5,11,20,30,10
Z234,16,6/10/13,7/1/13,13:30,TU,Deephole,4.5,5,20,30,10
Z218,16,6/7/13,6/25/13,11:00,HB,Deephole,1,1.5,20,30,10
Z279,16,6/13/13,6/26/13,12:00,RS,Deephole,3,3.5,20,30,10
Z283,16,6/13/13,6/27/13,23:30,RS,Deephole,2,2.5,20,30,10
Z130,16,5/28/13,6/25/13,11:00,CB,Deephole,2,2.5,19.78,34.2157,7.1938
Z129,16,5/28/13,6/25/13,11:00,CB,Deephole,0,0.5,20.003,31.9644,4.044
Z212,16,6/6/13,6/25/13,23:00,HB,Deephole,1,1.5,20,30,10
Z140,16,5/31/13,6/24/13,11:30,RE,Deephole,0,0.5,20.0049,31.1859,4.5464
Z131,16,5/28/13,6/24/13,11:00,CB,Deephole,1,1.5,20.0477,31.0505,4.7106
Z122,16,5/29/13,6/24/13,23:00,CB,Deephole,1,1.5,20.2896,39.6799,4.326
Z114,16,5/29/13,6/20/13,11:30,DW,Deephole,0,0.5,20.3315,32.6556,12.3241
Z115,16,5/29/13,6/21/13,11:30,DW,Deephole,1,1.5,20,30,10
Z149,16,5/31/13,6/21/13,11:30,RE,Deephole,2,2.5,20,30,10
Z143,16,5/30/13,6/19/13,,RE,Deephole,6,6.5,20,30,10
Z141,16,5/30/13,6/20/13,23:00,RE,Deephole,2,2.5,20,30,10
Z152,16,5/31/13,6/20/13,11:30,RE,Deephole,8,8.5,20,30,10
Z140,16,5/30/13,6/18/13,23:00,RE,Deephole,0,0.5,20,30,10
Z144,16,5/30/13,6/18/13,23:00,RE,Deephole,8,8.5,20,30,10
Z147,16,5/30/13,6/18/13,23:00,RE,Deephole,14,14.5,20,30,10
Z146,16,5/30/13,6/14/13,23:00,RE,Deephole,12,12.5,20,30,10
Z150,16,5/31/13,6/17/13,11:30,RE,Deephole,4,4.5,20,30,10
Z153,16,5/31/13,6/17/13,11:30,RE,Deephole,10,10.5,20,30,10
Z123,16,5/29/13,6/14/13,23:00,CB,Deephole,2,2.5,20,30,10
Z142,16,5/30/13,6/14/13,23:00,RE,Deephole,4,4.5,20,30,10
Z154,16,5/31/13,6/14/13,11:30,RE,Deephole,12,12.5,20,30,10
Z125,16,5/29/13,6/13/13,23:00,CB,Deephole,4,4.5,20,30,10
Z124,16,5/29/13,6/13/13,23:00,CB,Deephole,3,3.5,20,30,10
Z133,16,5/28/13,6/14/13,11:00,CB,Deephole,4,4.5,20,30,10
Z86,16,5/24/13,5/30/13,11:30,HB,Deephole,1,1.5,20.2352,29.0655,8.8303
Z85,16,5/24/13,5/30/13,11:30,HB,Deephole,0,0.5,20.1009,32.9983,12.8974
Z117,16,5/29/13,6/13/13,11:30,DW,Deephole,3,3.5,19.9579,37.7071,17.7492
Z111,16,5/28/13,6/7/13,23:00,DW,Deephole,3,3.5,20.032,34.7705,14.7385
Z110,16,5/28/13,6/11/13,23:00,DW,Deephole,2,2.5,20.3869,34.3974,14.0105
Z109,16,5/28/13,6/11/13,23:00,DW,Deephole,1,1.5,20.089,34.3585,14.2695
Z239,16,6/10/13,6/12/13,11:00,TU,Deephole,0,10.5,12.5045,25.8967,13.3922,
Z258,16,6/12/13,6/16/13,9:00,WL,Deephole,0,10,12.3935,32.7439,20.3504,
Z253,16,6/12/13,6/17/13,10:05,EL,Deephole,0,10,12.375,27.1583,14.7833,
Z151,16,5/31/13,6/17/13,11:30,RE,Deephole,6,6.5,20,30,10,
Z116,16,5/29/13,6/17/13,11:30,DW,Deephole,2,2.5,20,30,10,
Z145,16,5/30/13,6/17/13,23:00,RE,Deephole,10,10.5,20,30,10,
Z189,16,6/5/13,6/5/13,12:00,WL,Deephole,0,10,12.4991,39.4733,17.5479,
Z216,16,6/6/13,6/7/13,12:00,RB,Deephole,0,5,12.3493,33.8505,6.2375,
Z121,16,5/29/13,6/11/13,23:00,CB,Deephole,0,0.5,10,20,10,
Z137,17,5/27/13,7/16/13,9:15,BR,Deephole,0,3.5,13.1452,27.95,2.6767,
Z324,17,6/28/13,7/16/13,12:15,BA,Deephole,0,10,12.9983,32.3451,5.7551,
Z134,17,5/24/13,7/18/13,10:30,WA,Deephole,0,5,12.9901,32.4114,2.7893,
Z136,17,5/27/13,7/10/13,12:04,CR,Deephole,0,8,12.849,30.9854,17.111,
Z316,17,5/30/13,7/11/13,8:38,PA,Deephole,0,,13.0258,34.351,11.4567,Sample depth not recorded
Z138,17,5/28/13,7/11/13,11:00,NG,Deephole,0,1,13.2824,28.356,12.2183,
Z321,17,7/1/13,7/17/13,8:55,TU,Deephole,0,8,13.0073,28.412,14.4118,
Z322,17,7/1/13,7/17/13,9:42,PA,Deephole,0,6,13.0367,26.5125,9.2678
Z301,16,6/26/13,7/1/13,9:00,WL,Deephole,0,10,12.8658,22.839,9.9732
Z135,17,5/27/13,7/10/13,15:48,BO,Deephole,0,1.5,13.1203,28.3687,6.9569
Z314,17,5/21/13,7/15/13,8:50,TU,Deephole,0,10,13.0581,60.173,9.9093
Z178,16,6/4/13,7/16/13,12:00,BR,Deephole,0,3,20.2969,37.1202,3.9782
Z157,16,6/2/13,7/18/13,23:30,BA,Deephole,0,5,20,30,10
Z241,16,6/10/13,7/18/13,23:00,DW,Deephole,0,1,20,30,10
Z220,16,6/7/13,7/5/13,11:00,HB,Deephole,0,3,20,30,10
Z217,16,6/7/13,7/5/13,11:00,HB,Deephole,0,0,20,30,10
Z284,16,6/13/13,7/8/13,23:30,RS,Deephole,0,3,20,30,10
Z229,16,6/9/13,7/4/13,23:30,TU,Deephole,0,9,20,30,10
Z232,16,6/10/13,7/5/13,13:30,TU,Deephole,0,1.5,20,30,10
Z231,16,6/10/13,7/5/13,13:30,TU,Deephole,0,0,20,30,10
Z199,16,6/6/13,7/4/13,12:00,RB,Deephole,0,0,20.1429,37.5262,9.3157
Z282,16,6/13/13,7/4/13,23:30,RS,Deephole,0,1,20.503,37.773,4.7534
Z201,16,6/6/13,7/4/13,12:00,RB,Deephole,0,2,20.0514,40.2066,11.5677
Z230,16,6/9/13,7/15/13,23:30,TU,Deephole,0,10.5,20,30,10
Z226,16,6/9/13,7/16/13,23:30,TU,Deephole,0,4.5,20,30,10
Z225,16,6/9/13,7/16/13,23:30,TU,Deephole,0,3,20,30,10
Z233,16,6/10/13,7/3/13,13:30,TU,Deephole,0,3,20,30,10
Z236,16,6/10/13,7/3/13,13:30,TU,Deephole,0,7.5,20,30,10
Z227,16,6/9/13,7/4/13,23:30,TU,Deephole,0,6,20,30,10
Z221,16,6/7/13,7/2/13,11:00,HB,Deephole,0,4,20,30,10
Z219,16,6/7/13,7/2/13,11:00,HB,Deephole,0,2,20,30,10
Z237,16,6/10/13,7/2/13,13:30,TU,Deephole,0,9,20,30,10
Z203,16,6/6/13,7/9/13,12:00,RB,Deephole,0,4,20,30,10
Z202,16,6/6/13,7/10/13,12:00,RB,Deephole,0,3,20,30,10
Z107,16,5/28/13,7/15/13,12:00,TU,Deephole,0,10.5,20,30,10
Z139,16,5/28/13,7/19/13,10:00,BA,Deephole,0,8,13.4193,31.3372,7.4893
Z320,16,6/28/13,7/22/13,11:20,BR,Deephole,0,3,13.0792,35.9704,11.3005
Z156,16,6/2/13,7/23/13,23:30,BA,Deephole,2,2.5,20,30,10
Z312,3,7/10/13,7/22/13,10:00,EL,Deephole,0,10,20,30,10
Z304,3,7/3/13,7/23/13,9:00,WL,Deephole,0,10,20,30,10
Z263,16,6/12/13,7/18/13,11:30,CB,Deephole,4,4.5,20,30,10
Z159,16,6/2/13,7/19/13,23:30,BA,Deephole,4,4.5,20,30,10
Z243,16,6/10/13,7/19/13,23:00,DW,Deephole,3,3.5,20,30,10
Z303,3,7/3/13,7/24/13,10:00,EL,Deephole,0,10,20,30,10
Z214,16,6/6/13,7/26/13,23:00,HB,Deephole,3,3.5,20,30,10
Z244,16,6/10/13,7/26/13,23:00,DW,Deephole,4,4.5,20,30,10
Z211,16,6/6/13,7/26/13,23:00,HB,Deephole,0,0.5,20,30,10
Z245,16,6/10/13,7/29/13,23:00,DW,Deephole,5,5.5,20,30,10
Z285,16,6/13/13,7/30/13,23:20,RS,Deephole,4,4.5,20,30,10
Z161,16,6/2/12,7/30/13,23:30,BA,Deephole,3,3.5,20,30,10
Z249,16,6/11/13,7/30/13,11:00,DW,Deephole,3,3.5,20,30,10
Z228,16,6/9/13,7/31/13,23:30,TU,Deephole,7.5,8,20,30,10
Z224,16,6/9/13,7/31/13,23:30,TU,Deephole,1.5,2,20,30,10
Z172,16,6/3/13,8/1/13,23:30,BR,Deephole,1,1.5,19.9385,33.7363,3.8696
Z533,3,8/16/13,9/10/13,10:05,EL,Deephole,0,10,10,20,10
Z532,3,8/16/13,9/10/13,9:00,WL,Deephole,0,10,12.9778,24.0023,7.7728
Z356,16,7/22/13,9/9/13,23:30,BA,Deephole,4,4.5,12.37,55.32,42.24
Z409,16,7/28/13,9/11/13,23:00,WL,Deephole,9,9.5,12.55,84.8,70.82
Z504,16,8/2/13,9/11/13,10:30,DW,Deephole,4,4.5,12.45,44.27,31.09
Z432,16,7/29/13,9/16/13,23:30,RE,Deephole,10.5,11,12.43,30.11,17.534
Z388,16,7/26/13,9/16/13,11:30,HB,Deephole,1,1.5,12.491,25.888,13.215
Z358,16,7/22/13,9/18/13,23:30,BA,Deephole,6,6.5,12.512,39.082,26.305
Z410,16,7/28/13,9/12/13,23:00,WL,Deephole,10.5,11,20,30,10
Z384,16,7/25/13,9/12/13,11:00,WL,Deephole,9,9.5,20,30,10
Z382,16,7/25/13,9/17/13,11:00,WL,Deephole,6,6.5,20,30,10
Z169,16,6/3/13,9/17/13,12:00,BA,Deephole,5,5.5,20,30,10
Z505,16,8/2/13,9/19/13,10:30,DW,Deephole,5,5.5,20,30,10
Z167,16,6/3/13,9/19/13,12:00,BA,Deephole,3,3.5,20,30,10
Z407,16,7/28/13,9/17/13,23:00,WL,Deephole,6,6.5,20,30,10
Z293,16,6/14/13,9/17/13,11:30,RE,Deephole,12,12.5,20,30,10
Z381,16,7/25/13,9/17/13,11:00,WL,Deephole,4.5,5,20,30,10
Z449,16,7/30/13,9/12/13,13:30,TU,Deephole,6,6.5,20,30,10
Z186,16,6/4/13,9/12/13,23:30,WL,Deephole,10.5,11,20,30,10
Z383,16,7/25/13,9/12/13,11:00,WL,Deephole,7.5,8,20,30,10
Z403,16,7/28/13,9/11/13,23:00,WL,Deephole,0,0.5,12.4,25.125,12.591
Z389,16,7/26/13,9/11/13,11:30,HB,Deephole,2,2.5,20.004,32.0367,12.0327
Z452,16,7/30/13,9/12/13,13:30,TU,Deephole,10.5,11,19.7418,36.4056,16.6638
Z391,16,7/26/13,9/18/13,11:30,HB,Deephole,4,4.5,12.38,27.609,14.991
Z454,16,7/30/13,9/18/13,23:30,TU,Deephole,1.5,2,12.433,35.65,22.309
Z418,16,7/29/13,9/23/13,11:00,RE,Deephole,1.5,2,12.581,31.688,7.079
Z302,3,6/26/13,7/16/13,10:00,EL,Deephole,0,10,13.1079,29.241,16.1331
Z376,3,7/25/13,7/30/13,9:00,WL,Deephole,0,10,10,20,10
Z311,3,7/10/13,7/30/13,9:00,WL,Deephole,0,10,10,20,10
Z377,3,7/25/13,10/1/13,10:05,EL,Deephole,0,10,10,20,10
Z330,3,7/17/13,10/7/13,10:05,EL,Deephole,0,10,10,20,10
Z329,3,7/17/13,10/7/13,9:00,WL,Deephole,0,10,10,20,10
Z474,3,7/31/13,10/18/13,10:00,EL,Deephole,0,10,10,20,10
Z473,3,7/31/13,11/14/13,9:05,WL,Deephole,0,10,10,20,10
