Zoop ID,Project ID,Date,Time,LakeID,Site,tow type,Depth Top (m),Depth Bot (m),Comments
Z314,17,5/31/13,8:50,TU,Deephole,vertical,0,10,
Z315,17,5/31/13,11:15,CB,Deephole,vertical,0,4,
Z316,17,5/30/13,8:38,PA,Deephole,vertical,0,,depth not recorded
Z317,17,6/26/13,3:23,CB,Deephole,vertical,0,6,
Z318,17,6/27/13,8:45,WA,Deephole,vertical,0,,depth not recorded
Z319,17,6/27/13,9:27,NG,Deephole,vertical,0,8,
Z320,17,6/28/13,11:20,BR,Deephole,vertical,0,3,
Z321,17,7/1/13,8:55,TU,Deephole,vertical,0,8,
Z322,17,7/1/13,9:45,PA,Deephole,vertical,0,6,
Z323,17,7/1/13,10:45,PE,Deephole,vertical,0,6,
Z324,17,6/28/13,12:15,BA,Deephole,vertical,0,10,
Z325,16,7/15/13,13:00,TU,Deephole,vertical,0,9,
Z326,16,7/11/13,10:00,RB,Deephole,vertical,0,4.5,
Z327,16,7/11/13,12:00,HB,Deephole,vertical,0,5.5,
Z328,16,7/16/13,12:00,DW,Deephole,vertical,0,5,
Z329,3,7/17/13,8:45,WL,Deephole,vertical,0,10,
Z330,3,7/17/13,10:15,EL,Deephole,vertical,0,10,
Z331,16,7/17/13,14:00,CB,Deephole,vertical,0,5,
Z332,16,7/18/13,12:15,RS,Deephole,schindler,0,0.5,
Z333,16,7/18/13,12:15,RS,Deephole,schindler,1,1.5,
Z334,16,7/18/13,12:15,RS,Deephole,schindler,2,2.5,
Z335,16,7/18/13,12:15,RS,Deephole,schindler,3,3.5,
Z336,16,7/18/13,12:15,RS,Deephole,schindler,4,4.5,
Z337,16,7/18/13,12:15,RS,Deephole,vertical,0,3.5,
Z338,16,7/18/13,23:55,RS,Deephole,schindler,0,0.5,
Z339,16,7/18/13,23:55,RS,Deephole,schindler,1,1.5,
Z340,16,7/18/13,23:55,RS,Deephole,schindler,2,2.5,
Z341,16,7/18/13,23:55,RS,Deephole,schindler,3,3.5,
Z342,16,7/18/13,23:55,RS,Deephole,schindler,4,4.5,
Z343,16,7/19/13,13:00,RE,Deephole,vertical,0,11,
Z344,16,7/22/13,11:30,BA,Deephole,schindler,0,0.5,
Z345,16,7/22/13,11:30,BA,Deephole,schindler,1,1.5,
Z346,16,7/22/13,11:30,BA,Deephole,schindler,2,2.5,
Z347,16,7/22/13,11:30,BA,Deephole,schindler,3,3.5,
Z348,16,7/22/13,11:30,BA,Deephole,schindler,4,4.5,
Z349,16,7/22/13,11:30,BA,Deephole,schindler,5,5.5,
Z350,16,7/22/13,11:30,BA,Deephole,schindler,6,6.5,
Z351,16,7/22/13,11:30,BA,Deephole,vertical,0,7,
Z352,16,7/22/13,23:30,BA,Deephole,schindler,0,0.5,
Z353,16,7/22/13,23:30,BA,Deephole,schindler,1,1.5,
Z354,16,7/22/13,23:30,BA,Deephole,schindler,2,2.5,
Z355,16,7/22/13,23:30,BA,Deephole,schindler,3,3.5,
Z356,16,7/22/13,23:30,BA,Deephole,schindler,4,4.5,
Z357,16,7/22/13,23:30,BA,Deephole,schindler,5,5.5,
Z358,16,7/22/13,23:30,BA,Deephole,schindler,6,6.5,
Z359,16,7/23/13,11:00,BR,Deephole,vertical,0,4,
Z360,16,7/23/13,11:00,BR,Deephole,schindler,0,0.5,
Z361,16,7/23/13,11:00,BR,Deephole,schindler,1,1.5,
Z362,16,7/23/13,11:00,BR,Deephole,schindler,2,2.5,
Z363,16,7/23/13,11:00,BR,Deephole,schindler,3,3.5,
Z364,16,7/23/13,23:30,BR,Deephole,schindler,0,0.5,
Z365,16,7/23/13,23:30,BR,Deephole,schindler,1,1.5,
Z366,16,7/23/13,23:30,BR,Deephole,schindler,2,2.5,
Z367,16,7/23/13,23:30,BR,Deephole,schindler,3,3.5,
Z368,16,7/23/13,23:30,BR,Deephole,schindler,4,4.5,
Z369,16,7/24/13,11:15,RB,Deephole,schindler,0,0.5,
