,ID1,ID2,Comment,Area.All.N,Ampl.N.28,Area.N.28,d15N,X.N,Area.All.C,Area.C.44,X.C,Ampl.C.45,Ampl.C.46,Area.C.46,d13C,amountN.mg,amountC.mg,flag,ProjectID,Date.time,lakeID,Site,depthClass,depth,volFiltered,comments,PON,POC,dateTimeSample,dateSample
39,P-0737,NA,NA,2.197,291,2.181,-0.918,0,7.482,7.365,0,597,743,0.032,-32.221,0.0172154,0.1349904,0,3,6/26/13 8:30,WL,DeepHole,Hypo,8,200,,0.086077,0.674952,2013-06-26 08:30:00,2013-06-26 00:00:00
40,P-0738,NA,NA,1.686,228,1.673,0.812,0,6.385,6.285,0,513,633,0.027,-28.332,0.0130252,0.116122,0,3,6/26/13 9:30,EL,DeepHole,PML,0-0.5,200,,0.065126,0.58061,2013-06-26 09:30:00,2013-06-26 00:00:00
41,P-0739,NA,NA,1.682,223,1.669,-0.772,0,7.315,7.2,0,584,724,0.031,-30.643,0.0129924,0.132118,0,3,6/26/13 9:30,EL,DeepHole,Hypo,8,170,,0.076425882,0.777164706,2013-06-26 09:30:00,2013-06-26 00:00:00
42,P-0741,NA,NA,1.093,144,1.085,-0.171,0,5.897,5.805,0,473,587,0.025,-26.781,0.0081626,0.1077284,0,3,6/26/13 9:20,EL,Outlet,Surface,0,170,,0.048015294,0.633696471,2013-06-26 09:20:00,2013-06-26 00:00:00
43,P-0766,NA,NA,1.03,135,1.023,0.123,0,5.582,5.494,0,446,553,0.024,-27.442,0.007646,0.1023104,0,3,7/3/13 8:15,WL,DeepHole,PML,0-1.5,200,,0.03823,0.511552,2013-07-03 08:15:00,2013-07-03 00:00:00
44,P-0767,NA,NA,1.974,261,1.959,-0.782,0,8.545,8.411,0,679,844,0.037,-31.354,0.0153868,0.153274,0,3,7/3/13 8:15,WL,DeepHole,Hypo,8,160,,0.0961675,0.9579625,2013-07-03 08:15:00,2013-07-03 00:00:00
45,P-0768,NA,NA,1.682,219,1.669,1.545,0,6.822,6.715,0,545,675,0.029,-28.035,0.0129924,0.1236384,0,3,7/3/13 9:25,EL,DeepHole,PML,0-1,180,,0.07218,0.68688,2013-07-03 09:25:00,2013-07-03 00:00:00
46,P-0769,NA,NA,1.174,157,1.165,0.613,0,6.851,6.744,0,546,677,0.029,-29.334,0.0088268,0.1241372,0,3,7/3/13 9:25,EL,DeepHole,Hypo,8,140,,0.063048571,0.886694286,2013-07-03 09:25:00,2013-07-03 00:00:00
47,P-0770,NA,NA,0.575,75,0.57,2.356,0,4.753,4.678,0,379,469,0.02,-24.983,0.003915,0.0880516,0,3,7/3/13 10:00,EL,Inlet,Surface,0,200,,0.019575,0.440258,2013-07-03 10:00:00,2013-07-03 00:00:00
48,P-0771,NA,NA,0.844,112,0.837,2.23,0,5.968,5.874,0,479,593,0.026,-26.343,0.0061208,0.1089496,0,3,7/3/13 9:25,EL,Outlet,Surface,0,180,,0.034004444,0.605275556,2013-07-03 09:25:00,2013-07-03 00:00:00
49,P-0789,NA,NA,1.403,184,1.392,-1.174,0,5.92,5.827,0,476,588,0.025,-28.834,0.0107046,0.108124,0,3,7/10/13 11:30,WL,DeepHole,PML,0-1.5,200,,0.053523,0.54062,2013-07-10 11:30:00,2013-07-10 00:00:00
50,P-0790,NA,NA,2.462,313,2.443,-0.825,0,8.271,8.141,0,654,812,0.035,-30.673,0.0193884,0.1485612,0,3,7/10/13 11:30,WL,DeepHole,Hypo,8,175,,0.110790857,0.848921143,2013-07-10 11:30:00,2013-07-10 00:00:00
51,P-0791,NA,NA,3.06,397,3.037,0.684,0,10.699,10.531,0,849,1052,0.046,-29.589,0.024292,0.1903228,1,3,7/10/13 12:30,EL,DeepHole,PML,0-1.5,180,,0.134955556,1.057348889,2013-07-10 12:30:00,2013-07-10 00:00:00
52,P-0792,NA,NA,3.571,462,3.544,2.084,0,11.046,10.873,0,876,1084,0.047,-28.464,0.0284822,0.1962912,1,3,7/10/13 12:30,EL,DeepHole,Hypo,8,,volume not recorded,,,2013-07-10 12:30:00,2013-07-10 00:00:00
53,P-0793,NA,NA,0.733,92,0.728,-1.038,0,4.899,4.822,0,388,481,0.021,-25.196,0.0052106,0.0905628,1,3,7/10/13 12:30,EL,Inlet,Surface,0,200,,0.026053,0.452814,2013-07-10 12:30:00,2013-07-10 00:00:00
54,P-0794,NA,NA,2.815,371,2.794,2.09,0,9.261,9.115,0,737,909,0.039,-27.508,0.02402,0.1700892,0,3,7/10/13 12:30,EL,Outlet,Surface,0,180,,0.133444444,0.94494,2013-07-10 12:30:00,2013-07-10 00:00:00
55,P-0822,NA,NA,1.164,146,1.156,0.434,0,7.476,7.358,0,593,733,0.032,-25.574,0.010812,0.1393872,0,3,7/17/13 10:10,EL,Inlet,Surface,0,200,,0.05406,0.696936,2013-07-17 10:10:00,2013-07-17 00:00:00
