Project ID,Isotope ID,Date time,Lake ID,Site,Depth class,Depth (m),Volume Filtered (mL),sample type,comments
16,P-0669,6/6/13 12:30,RB,Deep Hole,Hypo,4.5,,Filter ,no vol recorded
16,P-0670,6/10/13 13:30,TU,Deep Hole,PML,0-0.5,180,Filter ,
16,P-0671,6/10/13 13:30,TU,Deep Hole,Hypo,6.5,140,Filter ,
18,P-0672,6/10/13 9:55,BO,Deep Hole,PML,0.5,60,Filter ,
18,P-0673,6/10/13 9:55,BO,Deep Hole,Hypo,3,65,Filter ,
16,P-0674,6/7/13 11:30,HB,Deep Hole,PML,0-0.5,-,Particulate,
16,P-0675,6/7/13 11:30,HB,Deep Hole,Hypo,4,-,Particulate,
16,P-0676,6/11/13 11:00,DW,Deep Hole,PML,0-1,200,Filter ,
16,P-0677,6/11/13 11:00,DW,Deep Hole,Hypo,5,200,Filter ,
16,P-0678,6/12/13 11:30,CB,Deep Hole,PML,0-0.5,200,Filter ,
16,P-0679,6/12/13 11:30,CB,Deep Hole,Hypo,4,200,Filter ,
3,P-0680,6/12/13 10:05,EL,Deep Hole,PML,0-1,200,Filter ,
3,P-0681,6/12/13 10:05,EL,Deep Hole,Hypo,8,140,Filter ,
3,P-0682,6/12/13 12:00,EL,Inlet 1,Surface,0,140,Filter ,
3,P-0683,6/12/13 11:30,EL,Outlet,Surface,0,180,Filter ,
3,P-0684,6/12/13 9:00,WL,Deep Hole,PML,0-1,200,Filter ,
3,P-0685,6/12/13 9:00,WL,Deep Hole,Hypo,8,180,Filter ,
16,P-0686,6/13/13 12:30,RS,Deep Hole,PML,0-1,100,Filter ,
16,P-0687,6/13/13 12:30,RS,Deep Hole,Hypo,4,100,Filter ,
16,P-0688,6/10/13 13:30,TU,Deep Hole,PML,0-0.5,-,Particulate,
16,P-0689,6/10/13 13:30,TU,Deep Hole,Hypo,6.5,-,Particulate,
16,P-0690,6/14/13 11:30,RE,Deep Hole,PML,0-0.5,200,Filter ,
16,P-0691,6/14/13 11:30,RE,Deep Hole,Hypo,9,200,Filter ,
15,P-0692,6/17/13 8:00,MO,Deep Hole,PML,0-1,200,Filter ,
15,P-0693,6/17/13 8:00,MO,Deep Hole,Hypo,6,120,Filter ,
15,P-0694,6/17/13 9:15,MO,Inlet 1,Surface,0,200,Filter ,
15,P-0695,6/17/13 9:30,MO,Inlet 2,Surface,0,75,Filter ,
15,P-0696,6/17/13 9:00,MO,Inlet 3,Surface,0,150,Filter ,
16,P-0697,6/17/13 11:00,BA,Deep Hole,PML,0-1.5,200,Filter ,
16,P-0698,6/17/13 11:00,BA,Deep Hole,Hypo,6,200,Filter ,
16,P-0699,6/14/13 11:30,RE,Deep Hole,PML,0-1.5,,Particulate,
16,P-0700,6/14/13 11:30,RE,Deep Hole,Hypo,6,,Particulate,
19,P-0701,6/17/13 11:30,ER,Deep Hole,PML,0-3,200,Filter ,
16,P-0702,6/18/13 11:30,BR,Deep Hole,PML,0-2,200,Filter ,
16,P-0703,6/18/13 11:30,BR,Deep Hole,Hypo,3.5,200,Filter ,
19,P-0704,6/18/13 12:30,BV,Deep Hole,PML,0-5,200,Filter ,
19,P-0705,6/18/13 13:30,AQ,Deep Hole,PML,0-3,200,Filter ,
3,P-0706,6/19/13 9:00,EL,Deep Hole,PML,0-1.5,180,Filter ,
3,P-0707,6/19/13 9:00,EL,Deep Hole,Hypo,8,140,Filter ,
3,P-0708,6/19/13 8:15,WL,Deep Hole,PML,0-1.5,200,Filter ,
3,P-0709,6/19/13 8:15,WL,Deep Hole,Hypo,8,200,Filter ,
3,P-0710,6/19/13 9:00,EL,Inlet 1,Surface,0,280,Filter ,
3,P-0711,6/19/13 9:00,EL,Outlet,Surface,0,180,Filter ,
16,P-0712,6/17/13 11:30,BA,Deep Hole,PML,0-2,-,Particulate,
16,P-0713,6/17/13 11:30,BA,Deep Hole,Hypo,6,-,Particulate,
15,P-0714,6/19/13 14:00,CR,Deep Hole,PML,0-2.5,180,Filter ,
15,P-0715,6/19/13 14:00,CR,Deep Hole,Hypo,12,140,Filter ,
15,P-0716,6/19/13 14:00,CR,Outlet,Surface,0,140,Filter ,
15,P-0717,6/20/13 7:55,HB,Deep Hole,PML,0-0.5,120,Filter ,
15,P-0718,6/20/13 7:55,HB,Deep Hole,Hypo,5,100,Filter ,
16,P-0719,6/18/13 11:30,BR,Deep Hole,PML,0-2,-,Particulate,
16,P-0720,6/18/13 11:30,BR,Deep Hole,Hypo,3.5,-,Particulate,
16,P-0721,6/20/13 14:00,RB,Deep Hole,PML,0-1.5,200,Filter ,
16,P-0722,6/20/13 14:00,RB,Deep Hole,Hypo,3,120,Filter ,
19,P-0723,6/20/13 14:30,HE,Deep Hole,PML,0-0.75,140,Filter ,
3,P-0724,6/19/13 9:00,EL,Deep Hole,PML,0-1.5,-,Particulate,probably not enough mass
3,P-0725,6/19/13 9:00,EL,Deep Hole,Hypo,3.5,-,Particulate,
3,P-0726,6/19/13 8:15,WL,Deep Hole,PML,0-1.5,-,Particulate,probably not enough mass
3,P-0727,6/19/13 8:15,WL,Deep Hole,Hypo,3.5,-,Particulate,
19,P-0728,6/24/13 12:00,MC,Deep Hole,PML,0-3,150,Filter ,
