"","ID1","ID2","Comment","Area.All.N","Ampl.N.28","Area.N.28","d15N","X.N","Area.All.C","Area.C.44","X.C","Ampl.C.45","Ampl.C.46","Area.C.46","d13C","mgC","mgN","ProjectID","dateSample","lakeID","Site","depthClass","depth","volFiltered","comments"
"44","P-1164",NA,NA,0.774,98,0.768,-2.328,0,3.873,3.812,0,319,400,0.017,-30.101,0.0742934,0.0070242,3,"07/09/2014","WL","DH","PML","2","140","1"
"45","P-1165",NA,NA,1.853,241,1.839,-2.772,0,7.043,6.933,0,578,725,0.03,-34.027,0.1243794,0.0159799,3,"07/09/2014","WL","DH","Hypo","8","120","1"
"46","P-1166",NA,NA,1.034,127,1.026,0.738,0,4.469,4.399,0,364,456,0.019,-29.359,0.0837102,0.0091822,3,"07/09/2014","EL","DH","PML","2","120","1"
"47","P-1167",NA,NA,1.253,162,1.244,-2.287,0,5.322,5.238,0,438,551,0.023,-33.073,0.0971876,0.0109999,3,"07/09/2014","EL","DH","Hypo","8","120","1"
"48","P-1168",NA,NA,0.897,110,0.89,-0.089,0,4.163,4.097,0,340,426,0.018,-29.096,0.0788754,0.0080451,3,"07/09/2014","EL","Outlet","surface","0","120","1"
"49","P-1169",NA,NA,NA,NA,NA,NA,NA,2.942,2.896,0,241,302,0.013,-25.562,0.0595836,NA,3,"07/09/2014","EL","Inlet ","surface","0","140","1"
"50","P-1206",NA,NA,0.656,79,0.651,-2.157,0,3.247,3.196,0,265,333,0.014,-30.278,0.0644026,0.0060448,3,"07/16/2014","WL","DH","PML","2.5","140","1"
"51","P-1207",NA,NA,2.309,287,2.291,-2.824,0,7.871,7.747,0,638,801,0.034,-34.085,0.1374618,0.0197647,3,"07/16/2014","WL","DH","Hypo","8","140","1"
"52","P-1208",NA,NA,0.914,119,0.907,1.577,0,4.348,4.279,0,359,448,0.019,-29.407,0.1592228,0.021399,3,"07/16/2014","EL","DH","PML","2","140","1"
"53","P-1209",NA,NA,1.375,170,1.365,-1.515,0,5.772,5.681,0,462,579,0.025,-33.121,0.1679092,0.0230125,3,"07/16/2014","EL","DH","Hypo","8","140","1"
"54","P-1210",NA,NA,1.494,185,1.483,1.44,0,6.422,6.321,0,499,625,0.028,-30.059,0.1718742,0.023429,3,"07/16/2014","EL","Outlet","surface","0","140","1"
"55","P-1211",NA,NA,0.513,64,0.51,3.29,0,3.663,3.606,0,298,371,0.016,-26.443,0.1550443,0.0199955,3,"07/16/2014","EL","Inlet 1","surface","0","140","1"
"56","P-1234",NA,NA,0.807,102,0.801,-0.686,0,4.319,4.251,0,348,436,0.019,-33.708,0.1590459,0.0210245,3,"07/23/2014","WL","DH","PML","2.5","140",""
"57","P-1236",NA,NA,0.973,125,0.966,-1.353,0,5.167,5.086,0,436,546,0.022,-31.974,0.1642187,0.0216055,3,"07/23/2014","EL","DH","PML","1.5","140",""
"58","P-1237",NA,NA,1.452,186,1.441,-0.907,0,6.376,6.276,0,532,669,0.027,-34.655,0.1715936,0.023282,3,"07/23/2014","EL","DH","Hypo","8","140",""
"59","P-1238",NA,NA,1.113,139,1.104,-0.407,0,6.354,6.254,0,525,658,0.027,-30.294,0.1714594,0.0220955,3,"07/23/2014","EL","Outlet","surface","0","140",""
"60","P-1239",NA,NA,0.6,73,0.596,4.643,0,4.792,4.717,0,408,509,0.021,-28.649,0.1619312,0.0203,3,"07/23/2014","EL","Inlet 1","surface","0","140",""
"61","P-1264",NA,NA,0.915,118,0.908,1.544,0,4.543,4.472,0,383,478,0.019,-32.954,0.1604123,0.0214025,3,"07/30/2014","WL","DH","PML","2","140","Rep 1"
"62","P-1265",NA,NA,2.666,357,2.646,-2.032,0,9.7,9.548,0,813,1017,0.042,-33.745,0.19187,0.027531,3,"07/30/2014","WL","DH","Hypo","8","140","1"
"63","P-1266",NA,NA,0.791,96,0.785,0.158,0,3.446,3.392,0,287,360,0.015,-30.45,0.1537206,0.0209685,3,"07/30/2014","WL","DH","PML","2","140","2"
"64","P-1267",NA,NA,2.711,364,2.69,-1.813,0,10.847,10.677,0,906,1136,0.047,-35.487,0.1988667,0.0276885,3,"07/30/2014","WL","DH","Hypo","8","140","2"
"65","P-1268",NA,NA,0.847,104,0.841,22.083,0,3.732,3.673,0,312,391,0.016,-30.489,0.1554652,0.0211645,3,"07/30/2014","WL","DH","PML","2","140","3"
"66","P-1269",NA,NA,2.735,365,2.715,-2.306,0,12.699,12.499,0,1065,1327,0.054,-30.954,0.2101639,0.0277725,3,"07/30/2014","WL","DH","Hypo","8","140","3"
"67","P-1270",NA,NA,0.886,113,0.879,0.206,0,3.853,3.792,0,324,405,0.017,-30.244,0.1562033,0.021301,3,"07/30/2014","WL","DH","PML","2","140","4"
"68","P-1271",NA,NA,2.013,255,1.997,-0.888,0,8.439,8.306,0,689,864,0.036,-34.572,0.1841779,0.0252455,3,"07/30/2014","WL","DH","Hypo","8","140","4"
"69","P-1272",NA,NA,1.19,146,1.181,0.439,0,6.131,6.035,0,504,631,0.026,-32.902,0.1700991,0.022365,3,"07/30/2014","EL","DH","PML","1.5","140",""
"70","P-1273",NA,NA,1.686,213,1.673,-2.544,0,7.296,7.182,0,594,746,0.031,-34.681,0.1772056,0.024101,3,"07/30/2014","EL","DH","Hypo","8","140",""
"71","P-1274",NA,NA,3.923,502,3.894,0.859,0,22.441,22.089,0,1813,2239,0.096,-29.11,0.2695901,0.0319305,3,"07/30/2014","EL","Outlet","surface","0","70",""
